actual\predicted,0,1,2,3,4,5,6,7
0,0,1,0,0,0,0,0,0
1,0,56,162,58,13,0,0,0
2,0,52,552,487,183,4,0,0
3,0,6,142,362,367,33,0,0
4,0,0,16,53,349,118,2,0
5,0,0,0,0,6,13,0,0
6,0,0,0,0,1,1,2,0
7,0,0,0,0,0,0,0,0
