model,accuracy,macro_recall,recall_0,support_0,recall_1,support_1,recall_2,support_2,recall_3,support_3,recall_4,support_4,recall_5,support_5,recall_6,support_6,recall_7,support_7
decision_tree,0.2833168805528134,0.3043045023278591,0.0,1,0.2629757785467128,289,0.25273865414710484,1278,0.2857142857142857,910,0.3550185873605948,538,0.47368421052631576,19,0.5,4,,0
random_forest,0.4389601842711418,0.40805830254329106,0.0,1,0.19377162629757785,289,0.431924882629108,1278,0.3978021978021978,910,0.6486988847583643,538,0.6842105263157895,19,0.5,4,,0
