編號,地震時間,經度,緯度,規模,深度,最大震度,位置
071   ,1995-12-26 03:05:28,121.36,22.82,4.9,12.5,4,台東市地震站東偏北方  22.8  公里(台東市地震站東偏北方  22.8  公里)
070   ,1995-12-24 19:07:24,120.09,23.2,4,12.2,2,台南佳里地震站西偏北方  12.2  公里(台南佳里地震站西偏北方  12.2  公里)
069   ,1995-12-21 07:56:36,121.71,24.05,5.1,33.7,3,花蓮秀林地震站東偏南方  11.5  公里(花蓮秀林地震站東偏南方  11.5  公里)
068   ,1995-12-19 00:17:54,121.69,24.02,5.8,22.1,4,花蓮市地震站東偏北方  9.3  公里(花蓮市地震站東偏北方  9.3  公里)
067   ,1995-12-08 21:14:40,122.35,24.27,5.3,50,3,宜蘭蘇澳地震站東南方  62.8  公里(宜蘭蘇澳地震站東南方  62.8  公里)
066   ,1995-12-02 19:36:07,121.6,23.97,3.7,7.4,4,花蓮市地震站西方  1.7  公里(花蓮市地震站西方  1.7  公里)
065   ,1995-12-01 11:17:04,121.64,24.61,5.7,45.1,4,宜蘭牛鬥地震站東偏南方  7.8  公里(宜蘭牛鬥地震站東偏南方  7.8  公里)
064   ,1995-11-28 13:24:29,121.89,24.42,3.9,10.1,4,宜蘭南澳地震站東方  14.2  公里(宜蘭南澳地震站東方  14.2  公里)
063   ,1995-11-27 19:40:24,120.2,23.04,3.7,17,4,台南市地震站北方  6.2  公里(台南市地震站北方  6.2  公里)
062   ,1995-11-27 13:17:58,120.19,23.05,3.6,12.4,4,台南市地震站北偏西方  7.2  公里(台南市地震站北偏西方  7.2  公里)
061   ,1995-11-27 09:16:36,120.18,23.03,3.3,18.5,1,台南市地震站西北方  5.1  公里(台南市地震站西北方  5.1  公里)
060   ,1995-11-27 08:54:03,120.2,23.05,4.2,14.6,3,台南市地震站北方  7.7  公里(台南市地震站北方  7.7  公里)
059   ,1995-11-27 03:26:00,121.59,23.99,4.2,6.4,5,花蓮市地震站西偏北方  3.1  公里(花蓮市地震站西偏北方  3.1  公里)
058   ,1995-11-24 04:21:14,120.45,23.51,3.4,8.1,3,嘉義市地震站東北方  2.3  公里(嘉義市地震站東北方  2.3  公里)
057   ,1995-11-21 07:58:09,120.08,23.2,4.3,14.8,2,台南佳里地震站西偏北方  12.9  公里(台南佳里地震站西偏北方  12.9  公里)
056   ,1995-11-14 15:26:26,121.53,24.05,4.2,17.9,4,花蓮秀林地震站西偏南  8.7  公里(花蓮秀林地震站西偏南  8.7  公里)
055   ,1995-11-11 08:44:28,121.62,24.05,4,8.7,4,花蓮秀林地震站南偏東方  4.0  公里(花蓮秀林地震站南偏東方  4.0  公里)
054   ,1995-11-11 05:07:51,121.38,22.82,4.8,5,3,台東市地震站東偏北方  24.5  公里(台東市地震站東偏北方  24.5  公里)
053   ,1995-11-07 03:31:27,121.82,24.45,4.6,7.9,5,宜蘭南澳地震站東偏北方  7.1  公里(宜蘭南澳地震站東偏北方  7.1  公里)
052   ,1995-11-06 08:45:24,120.76,23.42,4.3,14.8,2,嘉義大埔地震站東北方  24.5  公里(嘉義大埔地震站東北方  24.5  公里)
051   ,1995-11-01 06:27:06,120.36,23.29,5.2,10.7,4,台南東山地震站西方  15.0  公里(台南東山地震站西方  15.0  公里)
050   ,1995-10-14 11:01:36,122.53,24.63,5,14.3,3,宜蘭蘇澳地震站東方  68.0  公里(宜蘭蘇澳地震站東方  68.0  公里)
049   ,1995-10-07 19:08:42,121.68,23.87,4.7,0.6,4,花蓮市地震站南偏東方  13.7  公里(花蓮市地震站南偏東方  13.7  公里)
048   ,1995-10-04 13:01:48,122,24.87,4.5,4.8,3,宜蘭市地震站東偏北方  27.6  公里(宜蘭市地震站東偏北方  27.6  公里)
047   ,1995-09-29 01:58:05,120.45,23.51,4.5,9.3,5,嘉義市地震站東北方  1.9  公里(嘉義市地震站東北方  1.9  公里)
046   ,1995-08-20 17:25:03,121.58,24.69,4.9,56.9,4,宜蘭牛鬥地震站北方  6.1  公里(宜蘭牛鬥地震站北方  6.1  公里)
045   ,1995-08-07 19:59:19,121.87,24.88,4.8,115.7,2,宜蘭市地震站東北方  17.9  公里(宜蘭市地震站東北方  17.9  公里)
044   ,1995-07-28 16:00:31,121.96,24.71,4.7,71.5,3,宜蘭蘇澳地震站東北方  15.3  公里(宜蘭蘇澳地震站東北方  15.3  公里)
043   ,1995-07-24 15:02:31,121.83,24.31,4.5,9.2,3,宜蘭南澳地震站東南方  14.7  公里(宜蘭南澳地震站東南方  14.7  公里)
042   ,1995-07-15 01:40:48,121.84,24.32,4.9,8.6,4,宜蘭南澳地震站東南方  15.1  公里(宜蘭南澳地震站東南方  15.1  公里)
041   ,1995-07-15 00:52:46,121.85,24.32,5.8,8.8,5,宜蘭南澳地震站東南方  15.6  公里(宜蘭南澳地震站東南方  15.6  公里)
040   ,1995-07-07 16:46:09,121.7,24.62,4.6,44.7,3,宜蘭牛鬥地震站東方  13.0  公里(宜蘭牛鬥地震站東方  13.0  公里)
039   ,1995-07-07 11:04:48,121.09,23.89,5.3,13.1,5,花蓮西林地震站西偏北方  36.9  公里(花蓮西林地震站西偏北方  36.9  公里)
038   ,1995-07-06 01:33:48,122.12,24.83,4.6,8.9,3,宜蘭蘇澳地震站東北方  35.9  公里(宜蘭蘇澳地震站東北方  35.9  公里)
037   ,1995-06-28 22:14:53,121.35,22.23,5.3,6.6,1,台東蘭嶼地震站西北方  30.2  公里(台東蘭嶼地震站西北方  30.2  公里)
036   ,1995-06-25 14:59:07,121.67,24.61,6.5,39.9,5,宜蘭牛鬥地震站東偏南方  10.2  公里(宜蘭牛鬥地震站東偏南方  10.2  公里)
035   ,1995-06-10 22:31:28,121.12,22.78,4.6,10.2,4,台東市地震站西北方  4.5  公里(台東市地震站西北方  4.5  公里)
034   ,1995-06-07 07:21:22,121.46,23.01,5.1,23.7,4,台東成功地震站東南方  12.6  公里(台東成功地震站東南方  12.6  公里)
033   ,1995-05-31 22:09:30,121.88,24.44,4.8,37.3,4,宜蘭南澳地震站東方  13.1  公里(宜蘭南澳地震站東方  13.1  公里)
032   ,1995-05-31 02:42:43,121.89,24.44,4.3,13.8,5,宜蘭南澳地震站東方  14.7  公里(宜蘭南澳地震站東方  14.7  公里)
031   ,1995-05-28 17:58:09,121.24,23.1,4.4,3.7,3,台東成功地震站西方  13.5  公里(台東成功地震站西方  13.5  公里)
030   ,1995-05-28 02:11:11,121.46,23.01,5.3,19.7,5,台東成功地震站東南方  13.7  公里(台東成功地震站東南方  13.7  公里)
029   ,1995-05-16 02:58:38,122.36,24.74,5.4,79.4,3,宜蘭蘇澳地震站東偏北方  53.0  公里(宜蘭蘇澳地震站東偏北方  53.0  公里)
028   ,1995-05-14 19:41:30,120.23,23.06,3.9,15.5,3,台南市地震站北偏東方  8.6  公里(台南市地震站北偏東方  8.6  公里)
027   ,1995-05-09 17:36:36,121.61,23.53,4.6,22.9,2,花蓮西林地震站南偏東方  36.0  公里(花蓮西林地震站南偏東方  36.0  公里)
026   ,1995-05-09 09:03:50,121.47,22.98,4.9,23,5,台東成功地震站東南方  16.6  公里(台東成功地震站東南方  16.6  公里)
025   ,1995-05-03 06:48:20,121.97,23.83,5.2,23.9,3,花蓮市地震站東偏南方  39.8  公里(花蓮市地震站東偏南方  39.8  公里)
024   ,1995-05-02 14:17:21,121.63,24.01,4.6,8.9,4,花蓮市地震站北偏東方  4.6  公里(花蓮市地震站北偏東方  4.6  公里)
023   ,1995-05-01 22:50:45,121.65,24.04,4.9,2.2,4,花蓮秀林地震站東南方  6.3  公里(花蓮秀林地震站東南方  6.3  公里)
022   ,1995-05-01 17:55:44,121.63,24.01,4,8.7,4,花蓮市地震站北偏東方  4.6  公里(花蓮市地震站北偏東方  4.6  公里)
021   ,1995-04-29 09:47:15,121.62,24.01,3.9,8.8,4,花蓮市地震站北偏東方  3.7  公里(花蓮市地震站北偏東方  3.7  公里)
020   ,1995-04-25 16:29:02,120.51,22.65,5.5,43.7,4,屏東市地震站南偏東方  3.6  公里(屏東市地震站南偏東方  3.6  公里)
019   ,1995-04-24 18:04:00,121.62,24.65,5.3,63.1,4,宜蘭牛鬥地震站東偏北方  5.2  公里(宜蘭牛鬥地震站東偏北方  5.2  公里)
018   ,1995-04-23 11:01:46,120.47,23.25,4.3,6.6,4,台南東山地震站西偏南  4.3  公里(台南東山地震站西偏南  4.3  公里)
017   ,1995-04-23 10:57:52,120.47,23.25,4.3,6.7,4,台南東山地震站西偏南  4.2  公里(台南東山地震站西偏南  4.2  公里)
016   ,1995-04-23 10:47:40,120.46,23.25,4.3,6.5,4,台南東山地震站西偏南  4.2  公里(台南東山地震站西偏南  4.2  公里)
015   ,1995-04-17 13:56:26,121.45,23.76,4.3,17.7,5,花蓮西林地震站南方  5.5  公里(花蓮西林地震站南方  5.5  公里)
014   ,1995-04-10 17:51:13,121.02,21.83,5,29.8,3,屏東恆春地震站東偏南方  34.4  公里(屏東恆春地震站東偏南方  34.4  公里)
013   ,1995-04-03 19:54:40,122.43,23.94,5.9,14.6,3,花蓮市地震站東方  83.4  公里(花蓮市地震站東方  83.4  公里)
012   ,1995-03-24 12:13:51,121.86,24.64,5.6,76,4,宜蘭蘇澳地震站北方  3.3  公里(宜蘭蘇澳地震站北方  3.3  公里)
011   ,1995-03-22 11:30:21,121.52,23.78,4.8,17.9,3,花蓮西林地震站東偏南方  8.6  公里(花蓮西林地震站東偏南方  8.6  公里)
010   ,1995-02-26 16:08:18,121.46,23.06,4.9,16.5,4,台東成功地震站東偏南方  10.2  公里(台東成功地震站東偏南方  10.2  公里)
009   ,1995-02-24 11:12:00,120.23,23.06,4,12.1,4,台南市地震站北偏東方  8.7  公里(台南市地震站北偏東方  8.7  公里)
008   ,1995-02-24 09:00:46,121.7,24.26,4.4,25.7,3,宜蘭南澳地震站南偏西方  19.2  公里(宜蘭南澳地震站南偏西方  19.2  公里)
007   ,1995-02-23 13:19:02,121.69,24.2,5.8,21.7,5,花蓮秀林地震站東北方  16.0  公里(花蓮秀林地震站東北方  16.0  公里)
006   ,1995-02-20 10:44:26,121.74,24.03,4.7,27,3,花蓮市地震站東偏北方  13.8  公里(花蓮市地震站東偏北方  13.8  公里)
005   ,1995-02-10 10:21:59,121.92,23.76,5.2,24.6,3,花蓮市地震站東南方  39.2  公里(花蓮市地震站東南方  39.2  公里)
004   ,1995-01-24 16:45:23,120.19,23.05,4.2,16,4,台南市地震站北偏西方  7.4  公里(台南市地震站北偏西方  7.4  公里)
003   ,1995-01-19 19:39:08,120.76,23.3,4.5,14.3,3,嘉義大埔地震站東偏北方  15.7  公里(嘉義大埔地震站東偏北方  15.7  公里)
