編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2000-12-31 03:42:52,122.9,24.19,5.2,64.1,1,宜蘭蘇澳地震站東偏南方  115.1  公里(宜蘭蘇澳地震站東偏南方  115.1  公里)
小區域有感地震,2000-12-30 17:43:28,122.57,22.06,5.2,13.3,2,台東蘭嶼地震站東方  104.3  公里(台東蘭嶼地震站東方  104.3  公里)
小區域有感地震,2000-12-30 13:46:59,121.91,24.38,3.6,13.9,3,宜蘭南澳地震站東偏南方  17.2  公里(宜蘭南澳地震站東偏南方  17.2  公里)
小區域有感地震,2000-12-30 02:22:06,121.82,24.43,3.3,6.2,4,宜蘭南澳地震站東方  7.4  公里(宜蘭南澳地震站東方  7.4  公里)
266   ,2000-12-30 02:03:28,121.88,24.36,5.3,7,7,宜蘭南澳地震站東偏南方  15.5  公里(宜蘭南澳地震站東偏南方  15.5  公里)
小區域有感地震,2000-12-28 17:25:23,121.77,24.41,2.3,11.6,2,宜蘭南澳地震站東偏南方  2.1  公里(宜蘭南澳地震站東偏南方  2.1  公里)
265   ,2000-12-28 17:01:26,122.04,23.44,5.3,9.2,3,花蓮市地震站東南方  73.7  公里(花蓮市地震站東南方  73.7  公里)
小區域有感地震,2000-12-26 11:21:01,122.19,21.14,5.6,158.1,2,台東蘭嶼地震站東南方  118.6  公里(台東蘭嶼地震站東南方  118.6  公里)
小區域有感地震,2000-12-26 04:03:19,121.85,24.47,3.1,13.8,3,宜蘭南澳地震站東偏北方  11.9  公里(宜蘭南澳地震站東偏北方  11.9  公里)
264   ,2000-12-22 19:23:00,121.15,24.08,4.7,13.3,2,台中德基地震站南方  19.1  公里(台中德基地震站南方  19.1  公里)
小區域有感地震,2000-12-22 14:21:46,120.95,23.38,3.3,6.5,1,台東利稻地震站北偏西方  23.0  公里(台東利稻地震站北偏西方  23.0  公里)
小區域有感地震,2000-12-21 13:41:29,120.66,23.96,3.3,12.6,2,南投名間地震站北偏西方  10.1  公里(南投名間地震站北偏西方  10.1  公里)
小區域有感地震,2000-12-20 23:00:06,120.23,23.23,3.4,14.9,2,台南佳里地震站北偏東方  6.9  公里(台南佳里地震站北偏東方  6.9  公里)
263   ,2000-12-20 09:22:23,121.54,24.08,4.3,20,4,花蓮秀林地震站西方  6.9  公里(花蓮秀林地震站西方  6.9  公里)
262   ,2000-12-18 16:01:37,121.55,23.23,4.3,37.4,1,台東成功地震站東北方  22.7  公里(台東成功地震站東北方  22.7  公里)
小區域有感地震,2000-12-18 11:01:34,121.46,23.86,2.8,19.3,2,花蓮西林地震站北偏東方  5.6  公里(花蓮西林地震站北偏東方  5.6  公里)
小區域有感地震,2000-12-18 10:59:50,121.5,23.85,2.7,18.4,2,花蓮西林地震站東北方  6.8  公里(花蓮西林地震站東北方  6.8  公里)
小區域有感地震,2000-12-18 01:10:46,120.21,23.08,3.1,16,2,台南市地震站北方  9.9  公里(台南市地震站北方  9.9  公里)
小區域有感地震,2000-12-15 09:57:21,120.2,23.09,3.1,18.5,3,台南佳里地震站南方  8.8  公里(台南佳里地震站南方  8.8  公里)
小區域有感地震,2000-12-15 08:03:24,121.7,24.25,2.9,11.2,3,宜蘭南澳地震站南偏西方  19.7  公里(宜蘭南澳地震站南偏西方  19.7  公里)
小區域有感地震,2000-12-15 01:13:59,120.19,23.1,3.4,22,2,台南佳里地震站南方  8.5  公里(台南佳里地震站南方  8.5  公里)
261   ,2000-12-14 04:52:31,120.36,23.29,3.7,13.6,2,台南東山地震站西方  14.6  公里(台南東山地震站西方  14.6  公里)
小區域有感地震,2000-12-13 13:47:37,121.38,23.99,3.2,14.1,2,花蓮西林地震站北偏西方  20.4  公里(花蓮西林地震站北偏西方  20.4  公里)
260   ,2000-12-13 04:32:52,122.68,23.97,5.3,19.4,1,宜蘭南澳地震站東偏南方  107.0  公里(宜蘭南澳地震站東偏南方  107.0  公里)
小區域有感地震,2000-12-13 00:41:31,120.18,23.08,3.1,15.8,3,台南佳里地震站南偏西方  10.4  公里(台南佳里地震站南偏西方  10.4  公里)
小區域有感地震,2000-12-12 17:08:06,120.19,23.08,3.2,17.9,3,台南市地震站北偏西方  10.2  公里(台南市地震站北偏西方  10.2  公里)
小區域有感地震,2000-12-11 21:39:32,121.04,24.37,3.6,9.2,2,台中德基地震站西北方  17.7  公里(台中德基地震站西北方  17.7  公里)
小區域有感地震,2000-12-11 16:21:51,120.2,23.07,3.6,18.1,3,台南市地震站北方  9.3  公里(台南市地震站北方  9.3  公里)
小區域有感地震,2000-12-11 16:19:46,121.72,23.86,3,10.1,1,花蓮市地震站東南方  17.1  公里(花蓮市地震站東南方  17.1  公里)
小區域有感地震,2000-12-11 13:38:56,120.2,23.07,3.1,17.3,2,台南市地震站北方  9.9  公里(台南市地震站北方  9.9  公里)
小區域有感地震,2000-12-11 11:45:34,120.17,23.07,3.7,18.2,4,台南市地震站北偏西方  10.0  公里(台南市地震站北偏西方  10.0  公里)
小區域有感地震,2000-12-11 10:51:15,120.19,23.06,3.5,18.8,3,台南市地震站北偏西方  8.8  公里(台南市地震站北偏西方  8.8  公里)
小區域有感地震,2000-12-11 08:44:25,120.2,23.09,3.2,16.3,2,台南佳里地震站南方  8.8  公里(台南佳里地震站南方  8.8  公里)
小區域有感地震,2000-12-11 08:31:34,120.19,23.08,3.6,18.4,2,台南市地震站北方  10.0  公里(台南市地震站北方  10.0  公里)
259   ,2000-12-11 05:34:18,120.21,23.08,4.3,15.3,4,台南市地震站北方  9.9  公里(台南市地震站北方  9.9  公里)
小區域有感地震,2000-12-11 05:11:24,120.18,23.07,3.3,16.6,2,台南市地震站北偏西方  10.3  公里(台南市地震站北偏西方  10.3  公里)
258   ,2000-12-11 04:00:19,120.19,23.07,4.4,18.9,4,台南市地震站北偏西方  9.6  公里(台南市地震站北偏西方  9.6  公里)
小區域有感地震,2000-12-11 03:37:22,120.2,23.1,3.5,19.2,3,台南佳里地震站南方  8.3  公里(台南佳里地震站南方  8.3  公里)
小區域有感地震,2000-12-11 03:34:34,120.23,23.12,4,15.5,3,台南佳里地震站南偏東方  7.0  公里(台南佳里地震站南偏東方  7.0  公里)
257   ,2000-12-11 03:30:44,120.23,23.12,5.4,12,5,台南佳里地震站南偏東方  6.9  公里(台南佳里地震站南偏東方  6.9  公里)
256   ,2000-12-10 18:08:38,120.21,23.11,5,15.7,5,台南佳里地震站南方  7.6  公里(台南佳里地震站南方  7.6  公里)
小區域有感地震,2000-12-09 06:38:15,120.62,23.55,3.3,15.1,3,嘉義市地震站東偏北方  20.3  公里(嘉義市地震站東偏北方  20.3  公里)
255   ,2000-12-09 01:43:10,120.76,23.5,3.7,9.5,2,嘉義大埔地震站北偏東方  31.9  公里(嘉義大埔地震站北偏東方  31.9  公里)
小區域有感地震,2000-12-07 00:51:29,121.38,23.19,4.1,31.4,2,台東成功地震站北方  9.9  公里(台東成功地震站北方  9.9  公里)
小區域有感地震,2000-12-04 22:20:23,120.65,23.97,3.5,11.8,3,南投名間地震站北偏西方  11.5  公里(南投名間地震站北偏西方  11.5  公里)
小區域有感地震,2000-12-02 19:54:49,122.81,24.64,4.5,99,2,宜蘭蘇澳地震站東方  95.9  公里(宜蘭蘇澳地震站東方  95.9  公里)
小區域有感地震,2000-12-02 15:48:49,121.34,24.08,3.4,8.1,2,台中德基地震站東南方  25.5  公里(台中德基地震站東南方  25.5  公里)
小區域有感地震,2000-11-30 01:15:04,121.07,24.39,4.2,5.6,3,台中德基地震站北偏西方  18.8  公里(台中德基地震站北偏西方  18.8  公里)
254   ,2000-11-29 21:41:40,121.77,23.86,4.6,17,4,花蓮市地震站東南方  20.8  公里(花蓮市地震站東南方  20.8  公里)
253   ,2000-11-29 19:00:33,121.77,23.86,5.2,15.3,4,花蓮市地震站東南方  20.5  公里(花蓮市地震站東南方  20.5  公里)
252   ,2000-11-29 04:26:24,121.49,23.94,3.1,20.3,3,花蓮市地震站西偏南  13.7  公里(花蓮市地震站西偏南  13.7  公里)
251   ,2000-11-25 15:11:02,121.58,24.15,2.9,17,3,花蓮秀林地震站北偏西方  7.9  公里(花蓮秀林地震站北偏西方  7.9  公里)
小區域有感地震,2000-11-24 02:41:47,120.54,23.36,3.6,12.4,2,台南東山地震站北偏東方  11.4  公里(台南東山地震站北偏東方  11.4  公里)
250   ,2000-11-22 21:38:37,120.42,23.55,3.5,11.2,2,嘉義市地震站北偏西方  5.7  公里(嘉義市地震站北偏西方  5.7  公里)
249   ,2000-11-22 17:00:22,121.01,23.94,4.3,6.4,2,南投名間地震站東方  32.6  公里(南投名間地震站東方  32.6  公里)
小區域有感地震,2000-11-21 14:23:11,121.4,24.25,3.1,7.3,2,台中德基地震站東方  24.1  公里(台中德基地震站東方  24.1  公里)
小區域有感地震,2000-11-21 06:35:21,121.4,24.26,3.6,7.5,3,台中德基地震站東方  24.3  公里(台中德基地震站東方  24.3  公里)
248   ,2000-11-20 08:07:09,121.91,24.79,4.8,8.6,4,宜蘭市地震站東方  15.9  公里(宜蘭市地震站東方  15.9  公里)
小區域有感地震,2000-11-19 19:47:48,121,23.74,3.4,24,2,南投名間地震站東偏南方  35.1  公里(南投名間地震站東偏南方  35.1  公里)
247   ,2000-11-19 19:46:15,121.01,23.74,3.9,23.4,3,南投名間地震站東偏南方  35.4  公里(南投名間地震站東偏南方  35.4  公里)
小區域有感地震,2000-11-19 05:39:51,121.92,24.41,4.1,20.6,3,宜蘭南澳地震站東方  17.6  公里(宜蘭南澳地震站東方  17.6  公里)
246   ,2000-11-18 18:20:49,120.54,23.33,3.6,12.6,2,台南東山地震站北偏東方  8.2  公里(台南東山地震站北偏東方  8.2  公里)
小區域有感地震,2000-11-18 09:57:13,121.66,24.11,3,7.7,2,花蓮秀林地震站東偏北方  6.0  公里(花蓮秀林地震站東偏北方  6.0  公里)
245   ,2000-11-17 13:16:32,121.62,24.22,3.2,12.6,3,花蓮秀林地震站北方  15.5  公里(花蓮秀林地震站北方  15.5  公里)
小區域有感地震,2000-11-15 22:19:54,121.5,24.08,3.1,17.2,2,花蓮秀林地震站西方  10.9  公里(花蓮秀林地震站西方  10.9  公里)
小區域有感地震,2000-11-13 01:32:09,121,23.92,4.1,7.1,2,南投名間地震站東方  31.6  公里(南投名間地震站東方  31.6  公里)
小區域有感地震,2000-11-13 00:50:05,121,23.93,3.3,5.5,1,南投名間地震站東方  31.5  公里(南投名間地震站東方  31.5  公里)
小區域有感地震,2000-11-12 21:27:18,121.09,23.92,3.7,10.8,2,台中德基地震站南偏西方  37.5  公里(台中德基地震站南偏西方  37.5  公里)
小區域有感地震,2000-11-12 09:12:22,121.62,23.96,3,10.4,2,花蓮市地震站南偏東方  2.0  公里(花蓮市地震站南偏東方  2.0  公里)
