編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2004-12-25 04:56:48,121.63,24.03,3.6,10.4,3,花蓮秀林地震站南偏東方  5.7  公里(花蓮秀林地震站南偏東方  5.7  公里)
113   ,2004-12-22 22:53:31,121.59,23.81,3.9,27.7,1,花蓮西林地震站東方  15.2  公里(花蓮西林地震站東方  15.2  公里)
112   ,2004-12-22 08:28:47,121.54,23.37,4.4,24.8,2,花蓮玉里地震站東方  24.2  公里(花蓮玉里地震站東方  24.2  公里)
111   ,2004-12-22 08:18:07,121.52,23.38,4.7,25.3,4,花蓮玉里地震站東方  22.3  公里(花蓮玉里地震站東方  22.3  公里)
110   ,2004-12-16 08:10:00,122.41,23.95,5.1,8.6,2,花蓮市地震站東方  81.0  公里(花蓮市地震站東方  81.0  公里)
小區域有感地震,2004-12-15 00:27:57,120.64,23.29,3.5,9.6,2,嘉義大埔地震站北偏東方  5.9  公里(嘉義大埔地震站北偏東方  5.9  公里)
小區域有感地震,2004-12-09 18:57:13,120.7,23.64,2.9,16.2,2,斗六市地震站東偏南方  18.2  公里(斗六市地震站東偏南方  18.2  公里)
109   ,2004-12-08 19:32:32,121.47,22.84,4.4,18.1,4,台東成功地震站南偏東方  30.1  公里(台東成功地震站南偏東方  30.1  公里)
小區域有感地震,2004-12-07 23:33:51,121.62,24.05,3.4,9.6,2,花蓮秀林地震站南偏東方  3.8  公里(花蓮秀林地震站南偏東方  3.8  公里)
小區域有感地震,2004-11-30 04:26:51,120.18,23.05,3,18.8,1,台南市地震站北偏西方  7.3  公里(台南市地震站北偏西方  7.3  公里)
小區域有感地震,2004-11-29 15:24:53,121.79,24.43,3.2,12.3,3,宜蘭南澳地震站東方  4.1  公里(宜蘭南澳地震站東方  4.1  公里)
108   ,2004-11-28 03:27:28,121.68,24,3.6,18.2,3,花蓮市地震站東偏北方  7.1  公里(花蓮市地震站東偏北方  7.1  公里)
小區域有感地震,2004-11-27 17:43:53,121.78,23.58,3.8,31.3,2,花蓮西林地震站東南方  43.0  公里(花蓮西林地震站東南方  43.0  公里)
小區域有感地震,2004-11-25 23:52:58,121.47,23.79,2.9,9.5,3,花蓮西林地震站東偏南方  3.8  公里(花蓮西林地震站東偏南方  3.8  公里)
小區域有感地震,2004-11-19 14:24:48,121.49,24.03,3,18.7,3,花蓮秀林地震站西偏南  12.9  公里(花蓮秀林地震站西偏南  12.9  公里)
小區域有感地震,2004-11-18 11:47:55,121.47,23.96,2.7,18.4,1,花蓮市地震站西方  14.9  公里(花蓮市地震站西方  14.9  公里)
107   ,2004-11-13 23:22:04,121.69,24,4.3,29.6,3,花蓮市地震站東偏北方  7.9  公里(花蓮市地震站東偏北方  7.9  公里)
小區域有感地震,2004-11-13 11:01:56,121.41,23.72,2.9,11.7,2,花蓮西林地震站南偏西方  10.9  公里(花蓮西林地震站南偏西方  10.9  公里)
小區域有感地震,2004-11-12 16:35:15,121.88,24.46,3.4,10.2,3,宜蘭南澳地震站東偏北方  14.0  公里(宜蘭南澳地震站東偏北方  14.0  公里)
106   ,2004-11-12 15:06:46,121.67,24.2,3.9,6.5,4,花蓮秀林地震站北偏東方  14.5  公里(花蓮秀林地震站北偏東方  14.5  公里)
小區域有感地震,2004-11-11 21:42:48,121.78,24.4,2.9,10.9,4,宜蘭南澳地震站東南方  4.4  公里(宜蘭南澳地震站東南方  4.4  公里)
105   ,2004-11-11 10:16:44,122.16,24.31,6.1,27.3,4,宜蘭南澳地震站東偏南方  43.4  公里(宜蘭南澳地震站東偏南方  43.4  公里)
104   ,2004-11-10 22:48:02,122.42,23.97,5.2,14.9,3,花蓮市地震站東方  81.8  公里(花蓮市地震站東方  81.8  公里)
