編號,地震時間,經度,緯度,規模,深度,最大震度,位置
305   ,1999-12-31 08:39:49,120.88,23.61,4.4,6.8,3,南投名間地震站東南方  34.6  公里(南投名間地震站東南方  34.6  公里)
304   ,1999-12-30 20:24:32,121.29,22.65,4.9,17.5,3,台東市地震站東南方  18.6  公里(台東市地震站東南方  18.6  公里)
303   ,1999-12-27 14:11:18,120.5,23.57,3.7,15,3,嘉義市地震站東北方  11.0  公里(嘉義市地震站東北方  11.0  公里)
302   ,1999-12-27 09:21:38,121,23.65,4.1,3.2,2,南投名間地震站東南方  40.5  公里(南投名間地震站東南方  40.5  公里)
301   ,1999-12-27 01:51:02,120.79,23.57,3.8,20.2,3,斗六市地震站東偏南方  30.6  公里(斗六市地震站東偏南方  30.6  公里)
300   ,1999-12-26 00:09:43,120.81,23.57,3.5,11.9,3,斗六市地震站東偏南方  32.0  公里(斗六市地震站東偏南方  32.0  公里)
299   ,1999-12-25 08:15:19,120.51,23.5,4.3,5.3,3,嘉義市地震站東方  8.4  公里(嘉義市地震站東方  8.4  公里)
298   ,1999-12-25 02:14:12,121.27,23.62,4.8,8.9,4,花蓮西林地震站西南方  27.8  公里(花蓮西林地震站西南方  27.8  公里)
297   ,1999-12-21 23:13:12,120.67,23.98,3.9,11.6,4,南投名間地震站北偏西方  11.5  公里(南投名間地震站北偏西方  11.5  公里)
296   ,1999-12-19 19:54:48,121.17,24.2,4.5,4,3,台中德基地震站南方  6.1  公里(台中德基地震站南方  6.1  公里)
295   ,1999-12-11 04:23:44,120.83,24.38,3.8,29.6,3,苗栗三義地震站東偏南方  7.6  公里(苗栗三義地震站東偏南方  7.6  公里)
294   ,1999-12-09 00:01:24,121.69,24.56,4.5,40.2,3,宜蘭牛鬥地震站東偏南方  13.9  公里(宜蘭牛鬥地震站東偏南方  13.9  公里)
293   ,1999-12-08 05:22:54,120.52,23.16,4.2,15.2,3,高雄甲仙地震站西北方  11.6  公里(高雄甲仙地震站西北方  11.6  公里)
292   ,1999-12-07 17:34:44,121.53,24.09,3.7,20.6,3,花蓮秀林地震站西方  7.9  公里(花蓮秀林地震站西方  7.9  公里)
291   ,1999-12-07 02:14:33,122.01,24.86,4.8,100.2,3,宜蘭市地震站東偏北方  27.5  公里(宜蘭市地震站東偏北方  27.5  公里)
290   ,1999-12-03 22:57:00,120.47,23.49,4.1,10.9,4,嘉義市地震站東方  3.8  公里(嘉義市地震站東方  3.8  公里)
289   ,1999-12-03 19:43:34,120.45,23.49,3.9,11.7,2,嘉義市地震站東方  1.8  公里(嘉義市地震站東方  1.8  公里)
288   ,1999-12-03 11:49:06,120.44,23.5,3.3,10.8,4,嘉義市地震站東北方  1.2  公里(嘉義市地震站東北方  1.2  公里)
287   ,1999-12-02 01:06:55,120.43,23.5,4.5,10.9,4,嘉義市地震站北偏東方  .7  公里(嘉義市地震站北偏東方  .7  公里)
286   ,1999-11-30 01:53:53,120.74,23.66,4.4,11.5,4,斗六市地震站東偏南方  21.9  公里(斗六市地震站東偏南方  21.9  公里)
285   ,1999-11-29 07:45:04,120.99,24.52,4,6.4,3,苗栗市地震站東偏南方  17.7  公里(苗栗市地震站東偏南方  17.7  公里)
284   ,1999-11-29 05:25:50,120.93,23.33,5.1,2.5,3,台東利稻地震站北偏西方  18.8  公里(台東利稻地震站北偏西方  18.8  公里)
283   ,1999-11-29 04:42:20,120.92,23.31,4.9,3.1,3,台東利稻地震站西北方  17.5  公里(台東利稻地震站西北方  17.5  公里)
282   ,1999-11-29 00:07:33,120.51,23.51,4.1,5.8,3,嘉義市地震站東方  7.6  公里(嘉義市地震站東方  7.6  公里)
281   ,1999-11-28 04:36:01,120.66,23.95,3.9,11.3,3,南投名間地震站北偏西方  8.3  公里(南投名間地震站北偏西方  8.3  公里)
280   ,1999-11-23 12:13:48,120.45,23.52,3.7,13.4,4,嘉義市地震站東北方  3.0  公里(嘉義市地震站東北方  3.0  公里)
279   ,1999-11-23 06:47:25,120.46,23.51,3.8,11,4,嘉義市地震站東北方  3.0  公里(嘉義市地震站東北方  3.0  公里)
278   ,1999-11-22 01:35:18,120.71,24.01,3.7,12.3,3,南投名間地震站北方  14.5  公里(南投名間地震站北方  14.5  公里)
277   ,1999-11-20 11:29:35,120.65,24.02,4.7,11.7,4,彰化市地震站東偏南方  11.7  公里(彰化市地震站東偏南方  11.7  公里)
276   ,1999-11-19 18:14:17,120.45,23.52,3.8,11.4,3,嘉義市地震站東北方  3.8  公里(嘉義市地震站東北方  3.8  公里)
275   ,1999-11-19 14:25:13,120.64,24.04,4.2,11.1,4,彰化市地震站東偏南方  10.2  公里(彰化市地震站東偏南方  10.2  公里)
274   ,1999-11-18 00:45:36,120.5,23.5,3.6,5.8,4,嘉義市地震站東方  6.7  公里(嘉義市地震站東方  6.7  公里)
273   ,1999-11-17 15:35:09,120.64,24.02,5.3,9.6,6,彰化市地震站東南方  11.1  公里(彰化市地震站東南方  11.1  公里)
272   ,1999-11-16 13:18:03,120.5,23.5,4.4,5.4,4,嘉義市地震站東方  6.6  公里(嘉義市地震站東方  6.6  公里)
271   ,1999-11-16 03:56:33,120.5,23.5,3.9,6.2,3,嘉義市地震站東方  7.2  公里(嘉義市地震站東方  7.2  公里)
270   ,1999-11-16 02:10:49,120.44,23.52,4.8,11.7,5,嘉義市地震站北偏東方  3.4  公里(嘉義市地震站北偏東方  3.4  公里)
269   ,1999-11-15 19:40:54,120.5,23.51,3.9,9.3,,嘉義市地震站東偏北方  7.1  公里(嘉義市地震站東偏北方  7.1  公里)
268   ,1999-11-15 18:56:07,120.51,23.51,4.6,9.2,4,嘉義市地震站東偏北方  7.7  公里(嘉義市地震站東偏北方  7.7  公里)
267   ,1999-11-15 15:36:02,120.5,23.5,4.3,5.5,4,嘉義市地震站東方  7.3  公里(嘉義市地震站東方  7.3  公里)
266   ,1999-11-15 15:25:21,120.51,23.5,5.1,7,5,嘉義市地震站東方  7.5  公里(嘉義市地震站東方  7.5  公里)
265   ,1999-11-13 20:18:05,120.64,24.03,4.5,10.9,3,彰化市地震站東偏南方  10.6  公里(彰化市地震站東偏南方  10.6  公里)
264   ,1999-11-12 20:25:06,120.43,23.51,3.8,14.3,3,嘉義市地震站北偏西方  2.1  公里(嘉義市地震站北偏西方  2.1  公里)
263   ,1999-11-12 09:09:49,120.46,23.5,4.9,12.7,5,嘉義市地震站東偏北方  2.7  公里(嘉義市地震站東偏北方  2.7  公里)
262   ,1999-11-11 23:25:56,120.48,23.15,4.5,12,4,台南東山地震站南偏西方  13.0  公里(台南東山地震站南偏西方  13.0  公里)
261   ,1999-11-11 07:32:57,121,24.04,4.1,11.7,3,台中德基地震站西南方  28.3  公里(台中德基地震站西南方  28.3  公里)
260   ,1999-11-10 08:30:57,120.64,24.02,4.4,7.2,4,彰化市地震站東南方  11.1  公里(彰化市地震站東南方  11.1  公里)
259   ,1999-11-09 05:16:30,120.81,23.55,4.1,15.6,3,斗六市地震站東偏南方  33.4  公里(斗六市地震站東偏南方  33.4  公里)
258   ,1999-11-08 17:50:50,120.43,23.54,3.4,11.6,3,嘉義市地震站北方  5.2  公里(嘉義市地震站北方  5.2  公里)
257   ,1999-11-07 07:51:27,120.44,23.52,3.9,11.8,3,嘉義市地震站北偏東方  3.0  公里(嘉義市地震站北偏東方  3.0  公里)
256   ,1999-11-06 12:21:14,120.98,23.29,4.8,5.7,3,台東利稻地震站北偏西方  12.1  公里(台東利稻地震站北偏西方  12.1  公里)
255   ,1999-11-05 13:50:32,121.68,23.96,4.1,4.6,5,花蓮市地震站東偏南方  6.8  公里(花蓮市地震站東偏南方  6.8  公里)
254   ,1999-11-04 19:06:19,121.17,24.24,4.5,5.9,3,台中德基地震站南偏東方  1.1  公里(台中德基地震站南偏東方  1.1  公里)
253   ,1999-11-04 08:48:59,120.44,23.5,4.3,11.9,4,嘉義市地震站東偏北方  1.0  公里(嘉義市地震站東偏北方  1.0  公里)
252   ,1999-11-04 05:34:10,120.61,23.32,4.9,6.2,4,嘉義大埔地震站北方  8.2  公里(嘉義大埔地震站北方  8.2  公里)
251   ,1999-11-02 12:55:28,120.71,23.99,4,6.6,4,南投名間地震站北方  13.0  公里(南投名間地震站北方  13.0  公里)
250   ,1999-11-02 01:53:02,121.73,23.36,6.9,31.3,5,花蓮玉里地震站東方  43.0  公里(花蓮玉里地震站東方  43.0  公里)
249   ,1999-11-01 16:40:42,121.65,24.34,3.9,15.9,4,宜蘭南澳地震站西南方  13.8  公里(宜蘭南澳地震站西南方  13.8  公里)
248   ,1999-10-31 03:21:48,120.46,23.49,3.8,11.8,3,嘉義市地震站東偏南方  3.2  公里(嘉義市地震站東偏南方  3.2  公里)
247   ,1999-10-30 21:01:03,121.35,24.03,4.9,16.1,3,花蓮西林地震站北偏西方  25.7  公里(花蓮西林地震站北偏西方  25.7  公里)
246   ,1999-10-30 16:30:35,121.31,24.02,4.5,10.4,4,花蓮西林地震站北偏西方  26.7  公里(花蓮西林地震站北偏西方  26.7  公里)
245   ,1999-10-30 16:27:49,121.32,24.02,5.2,14.4,4,花蓮西林地震站北偏西方  26.0  公里(花蓮西林地震站北偏西方  26.0  公里)
244   ,1999-10-30 15:32:45,121.33,24.03,4.6,8.6,3,花蓮西林地震站北偏西方  26.3  公里(花蓮西林地震站北偏西方  26.3  公里)
243   ,1999-10-30 15:02:45,121.34,24.03,4.7,8.9,3,花蓮西林地震站北偏西方  25.9  公里(花蓮西林地震站北偏西方  25.9  公里)
242   ,1999-10-30 11:39:25,120.44,23.5,3.6,11.7,3,嘉義市地震站東偏北方  1.1  公里(嘉義市地震站東偏北方  1.1  公里)
241   ,1999-10-28 16:56:07,121,23.92,4.2,7.6,3,南投名間地震站東方  32.1  公里(南投名間地震站東方  32.1  公里)
