編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2006-12-31 09:36:30,121.51,23.52,3.8,26.2,2,花蓮玉里地震站東北方  28.6  公里(花蓮玉里地震站東北方  28.6  公里)
小區域有感地震,2006-12-31 06:21:06,121.74,23.59,4.1,29.2,2,花蓮西林地震站東南方  39.7  公里(花蓮西林地震站東南方  39.7  公里)
小區域有感地震,2006-12-30 09:01:32,121.89,24.77,3.1,10,3,宜蘭市地震站東方  13.8  公里(宜蘭市地震站東方  13.8  公里)
小區域有感地震,2006-12-28 17:39:00,120.43,21.96,4.5,48.1,3,屏東恆春地震站西方  32.6  公里(屏東恆春地震站西方  32.6  公里)
小區域有感地震,2006-12-27 16:42:53,121.4,23.21,3.8,20.1,2,台東成功地震站北偏東方  12.3  公里(台東成功地震站北偏東方  12.3  公里)
110   ,2006-12-27 10:30:39,120.39,22.05,5.8,49.5,4,屏東恆春地震站西方  37.2  公里(屏東恆春地震站西方  37.2  公里)
小區域有感地震,2006-12-27 07:10:45,120.46,22.02,4.3,52.2,2,屏東恆春地震站西方  29.9  公里(屏東恆春地震站西方  29.9  公里)
小區域有感地震,2006-12-27 06:54:34,120.47,22.04,4.4,50.6,2,屏東恆春地震站西方  28.9  公里(屏東恆春地震站西方  28.9  公里)
小區域有感地震,2006-12-27 01:35:13,120.47,21.82,5,44.6,3,屏東恆春地震站西偏南  35.0  公里(屏東恆春地震站西偏南  35.0  公里)
小區域有感地震,2006-12-27 00:10:33,120.41,22.08,4.5,40.7,1,屏東恆春地震站西偏北方  36.1  公里(屏東恆春地震站西偏北方  36.1  公里)
109   ,2006-12-26 23:41:44,120.3,22.07,5.5,41.2,4,屏東恆春地震站西方  46.8  公里(屏東恆春地震站西方  46.8  公里)
小區域有感地震,2006-12-26 22:53:20,120.46,21.86,4.9,45.6,2,屏東恆春地震站西偏南  33.9  公里(屏東恆春地震站西偏南  33.9  公里)
108   ,2006-12-26 20:40:25,120.47,21.9,5.1,38.5,3,屏東恆春地震站西偏南  31.0  公里(屏東恆春地震站西偏南  31.0  公里)
107   ,2006-12-26 20:34:15,120.42,21.97,7,50.2,5,屏東恆春地震站西方  33.9  公里(屏東恆春地震站西方  33.9  公里)
106   ,2006-12-26 20:26:21,120.56,21.69,7,44.1,5,屏東恆春地震站南偏西方  40.2  公里(屏東恆春地震站南偏西方  40.2  公里)
105   ,2006-12-26 16:20:04,121.39,23.36,4.5,15.1,4,花蓮玉里地震站東方  8.5  公里(花蓮玉里地震站東方  8.5  公里)
小區域有感地震,2006-12-25 10:22:33,121.12,24.14,3.4,8.2,3,台中德基地震站南偏西方  13.2  公里(台中德基地震站南偏西方  13.2  公里)
小區域有感地震,2006-12-24 20:19:44,121.27,22.95,3.7,20.7,3,台東成功地震站西南方  20.0  公里(台東成功地震站西南方  20.0  公里)
小區域有感地震,2006-12-24 17:43:13,121.2,23.8,3.8,10.7,2,花蓮西林地震站西方  24.4  公里(花蓮西林地震站西方  24.4  公里)
小區域有感地震,2006-12-24 12:37:29,121.47,23.94,2.7,18.9,2,花蓮西林地震站北偏東方  14.7  公里(花蓮西林地震站北偏東方  14.7  公里)
小區域有感地震,2006-12-24 12:34:50,120.89,23.94,3.6,10,2,南投名間地震站東偏北方  21.6  公里(南投名間地震站東偏北方  21.6  公里)
小區域有感地震,2006-12-24 11:58:07,121.71,24.65,3,9.5,3,宜蘭市地震站南偏西方  13.4  公里(宜蘭市地震站南偏西方  13.4  公里)
小區域有感地震,2006-12-24 05:51:09,121.06,22.83,4,10.5,2,台東市地震站西北方  13.4  公里(台東市地震站西北方  13.4  公里)
小區域有感地震,2006-12-24 03:06:39,122.31,24.8,4.3,11.6,2,宜蘭蘇澳地震站東偏北方  50.1  公里(宜蘭蘇澳地震站東偏北方  50.1  公里)
104   ,2006-12-24 01:28:27,122.32,24.81,5.4,9.8,3,宜蘭蘇澳地震站東偏北方  51.5  公里(宜蘭蘇澳地震站東偏北方  51.5  公里)
小區域有感地震,2006-12-23 22:58:26,121.72,24.22,3.3,13.7,3,花蓮秀林地震站東北方  19.0  公里(花蓮秀林地震站東北方  19.0  公里)
小區域有感地震,2006-12-23 21:20:00,121.71,24.22,3.1,12.7,2,花蓮秀林地震站東北方  19.0  公里(花蓮秀林地震站東北方  19.0  公里)
小區域有感地震,2006-12-23 21:03:09,121.72,24.22,3.3,13,2,花蓮秀林地震站東北方  19.3  公里(花蓮秀林地震站東北方  19.3  公里)
小區域有感地震,2006-12-22 16:43:11,121.85,24.47,3.3,8.1,3,宜蘭南澳地震站東偏北方  11.6  公里(宜蘭南澳地震站東偏北方  11.6  公里)
103   ,2006-12-20 04:44:35,122.29,24.82,4.8,10.1,4,宜蘭蘇澳地震站東偏北方  49.5  公里(宜蘭蘇澳地震站東偏北方  49.5  公里)
102   ,2006-12-18 22:32:13,121.53,24.07,3.8,22.5,4,花蓮秀林地震站西方  7.7  公里(花蓮秀林地震站西方  7.7  公里)
小區域有感地震,2006-12-18 21:52:02,121.39,23.22,3.8,21.7,3,台東成功地震站北方  13.7  公里(台東成功地震站北方  13.7  公里)
小區域有感地震,2006-12-18 20:42:45,121.07,22.79,3.1,6.1,3,台東市地震站西偏北方  9.9  公里(台東市地震站西偏北方  9.9  公里)
小區域有感地震,2006-12-18 20:02:01,121.07,22.79,3.7,6.4,3,台東市地震站西偏北方  9.7  公里(台東市地震站西偏北方  9.7  公里)
