編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2003-12-31 22:37:32,120.72,23.2,3.3,14.2,3,高雄桃源地震站西北方  6.5  公里(高雄桃源地震站西北方  6.5  公里)
148   ,2003-12-29 21:41:50,121.96,24.6,5.2,68.2,5,宜蘭蘇澳地震站東方  10.7  公里(宜蘭蘇澳地震站東方  10.7  公里)
小區域有感地震,2003-12-29 15:36:04,121.25,23.02,3.8,7.5,3,台東成功地震站西偏南  14.8  公里(台東成功地震站西偏南  14.8  公里)
小區域有感地震,2003-12-28 22:48:40,120.72,23.21,3.9,11,4,高雄桃源地震站西北方  6.7  公里(高雄桃源地震站西北方  6.7  公里)
小區域有感地震,2003-12-27 13:03:53,121.31,23.18,3.2,11.8,2,台東成功地震站西北方  11.8  公里(台東成功地震站西北方  11.8  公里)
小區域有感地震,2003-12-27 10:36:57,121.32,23.18,3.7,12.6,3,台東成功地震站北偏西方  10.2  公里(台東成功地震站北偏西方  10.2  公里)
小區域有感地震,2003-12-25 20:41:32,120.97,22.94,4,5.6,2,台東利稻地震站南偏西方  28.0  公里(台東利稻地震站南偏西方  28.0  公里)
小區域有感地震,2003-12-25 17:54:53,121.83,24.42,3.5,10.5,3,宜蘭南澳地震站東方  7.8  公里(宜蘭南澳地震站東方  7.8  公里)
147   ,2003-12-23 19:03:51,121.71,24.22,3.4,5.5,3,花蓮秀林地震站東北方  18.3  公里(花蓮秀林地震站東北方  18.3  公里)
小區域有感地震,2003-12-22 14:42:58,121.7,24.24,3.4,12.5,3,花蓮秀林地震站北偏東方  20.2  公里(花蓮秀林地震站北偏東方  20.2  公里)
小區域有感地震,2003-12-21 21:14:38,121.35,23.16,3.5,20.3,3,台東成功地震站北偏西方  7.3  公里(台東成功地震站北偏西方  7.3  公里)
146   ,2003-12-21 13:16:30,121.08,22.88,4.2,12.1,3,台東市地震站北偏西方  15.8  公里(台東市地震站北偏西方  15.8  公里)
小區域有感地震,2003-12-20 15:59:14,121.44,22.89,4.2,24.5,3,台東成功地震站南偏東方  23.9  公里(台東成功地震站南偏東方  23.9  公里)
小區域有感地震,2003-12-19 00:16:46,121.07,22.86,4.2,9.6,2,台東市地震站西北方  14.9  公里(台東市地震站西北方  14.9  公里)
小區域有感地震,2003-12-18 16:39:08,121.82,24.82,4.4,98.3,2,宜蘭市地震站東北方  9.4  公里(宜蘭市地震站東北方  9.4  公里)
145   ,2003-12-18 13:33:28,121.08,22.84,5,12.5,4,台東市地震站西北方  12.5  公里(台東市地震站西北方  12.5  公里)
144   ,2003-12-18 00:27:25,121.31,22.61,5.4,32.2,4,台東市地震站東南方  22.8  公里(台東市地震站東南方  22.8  公里)
小區域有感地震,2003-12-16 22:13:21,121.33,23.13,4.8,18,4,台東成功地震站西北方  5.8  公里(台東成功地震站西北方  5.8  公里)
143   ,2003-12-16 21:56:59,121.34,23.12,5,20.3,4,台東成功地震站西偏北方  3.9  公里(台東成功地震站西偏北方  3.9  公里)
小區域有感地震,2003-12-15 16:48:38,121.33,23.04,4,19.6,3,台東成功地震站西南方  7.8  公里(台東成功地震站西南方  7.8  公里)
142   ,2003-12-15 07:16:40,121.01,24.34,4.6,7.5,3,台中德基地震站西偏北方  18.3  公里(台中德基地震站西偏北方  18.3  公里)
141   ,2003-12-14 08:18:39,121.51,24.04,3.7,21.8,3,花蓮秀林地震站西偏南  10.4  公里(花蓮秀林地震站西偏南  10.4  公里)
小區域有感地震,2003-12-13 08:34:56,121.38,23,4.2,18.6,3,台東成功地震站南方  10.8  公里(台東成功地震站南方  10.8  公里)
小區域有感地震,2003-12-13 01:06:48,121.2,23.07,4.2,7.4,3,台東成功地震站西方  17.5  公里(台東成功地震站西方  17.5  公里)
小區域有感地震,2003-12-12 17:18:59,121.39,22.77,4.1,11.8,3,台東市地震站東方  24.6  公里(台東市地震站東方  24.6  公里)
小區域有感地震,2003-12-12 10:11:23,121.18,23.04,4,7.4,2,台東成功地震站西偏南  20.6  公里(台東成功地震站西偏南  20.6  公里)
小區域有感地震,2003-12-12 07:03:44,121.19,23.05,4.1,7.3,2,台東成功地震站西偏南  19.5  公里(台東成功地震站西偏南  19.5  公里)
140   ,2003-12-12 06:57:15,121.19,23.05,4.7,7,4,台東成功地震站西偏南  19.2  公里(台東成功地震站西偏南  19.2  公里)
139   ,2003-12-12 06:53:29,121.19,23.05,4.9,6.1,4,台東成功地震站西偏南  18.9  公里(台東成功地震站西偏南  18.9  公里)
小區域有感地震,2003-12-12 06:51:42,121.17,23.05,3.4,16.8,2,台東利稻地震站東南方  21.0  公里(台東利稻地震站東南方  21.0  公里)
小區域有感地震,2003-12-12 06:50:38,121.19,23.05,4.5,10.5,3,台東成功地震站西偏南  19.4  公里(台東成功地震站西偏南  19.4  公里)
138   ,2003-12-12 06:49:28,121.2,23.05,4.9,7,4,台東成功地震站西偏南  19.0  公里(台東成功地震站西偏南  19.0  公里)
137   ,2003-12-12 03:04:59,121.29,22.94,4.7,22.1,3,台東成功地震站南偏西方  19.2  公里(台東成功地震站南偏西方  19.2  公里)
小區域有感地震,2003-12-12 01:29:13,120.69,23.52,3.3,7.5,3,嘉義市地震站東方  26.0  公里(嘉義市地震站東方  26.0  公里)
小區域有感地震,2003-12-12 00:12:04,121.42,22.79,4.3,32.1,2,台東市地震站東方  27.8  公里(台東市地震站東方  27.8  公里)
小區域有感地震,2003-12-11 17:49:34,121.26,22.97,3.8,23,3,台東成功地震站西南方  18.6  公里(台東成功地震站西南方  18.6  公里)
小區域有感地震,2003-12-11 16:08:19,121.28,22.83,4.1,22.7,3,台東市地震站東偏北方  15.4  公里(台東市地震站東偏北方  15.4  公里)
小區域有感地震,2003-12-11 15:48:01,121.34,23.11,3.8,18.4,3,台東成功地震站西偏北方  3.5  公里(台東成功地震站西偏北方  3.5  公里)
136   ,2003-12-11 10:22:15,121.24,22.96,4.7,10.7,3,台東成功地震站西南方  20.3  公里(台東成功地震站西南方  20.3  公里)
135   ,2003-12-11 08:01:50,121.39,22.79,5.4,33.6,4,台東市地震站東方  24.7  公里(台東市地震站東方  24.7  公里)
134   ,2003-12-11 06:32:11,121.27,23.15,4.6,6.7,4,台東成功地震站西偏北方  12.3  公里(台東成功地震站西偏北方  12.3  公里)
小區域有感地震,2003-12-11 04:57:59,121.29,23.14,3.2,7.7,3,台東成功地震站西偏北方  9.5  公里(台東成功地震站西偏北方  9.5  公里)
小區域有感地震,2003-12-11 04:50:08,121.3,23.15,4.1,9.8,3,台東成功地震站西偏北方  9.6  公里(台東成功地震站西偏北方  9.6  公里)
小區域有感地震,2003-12-11 02:01:00,121.29,23.03,3.7,17,3,台東成功地震站西南方  11.3  公里(台東成功地震站西南方  11.3  公里)
小區域有感地震,2003-12-11 01:36:35,121.26,22.96,3.4,23.7,3,台東成功地震站西南方  19.4  公里(台東成功地震站西南方  19.4  公里)
小區域有感地震,2003-12-11 01:11:14,121.24,23.03,4,8.3,3,台東成功地震站西偏南  15.7  公里(台東成功地震站西偏南  15.7  公里)
133   ,2003-12-11 00:35:59,121.3,23.08,4.6,14.9,3,台東成功地震站西偏南  8.2  公里(台東成功地震站西偏南  8.2  公里)
小區域有感地震,2003-12-10 22:04:00,121.29,23.15,3.6,4.9,3,台東成功地震站西偏北方  10.5  公里(台東成功地震站西偏北方  10.5  公里)
小區域有感地震,2003-12-10 20:03:42,121.27,22.95,3.7,23.7,3,台東成功地震站西南方  19.9  公里(台東成功地震站西南方  19.9  公里)
小區域有感地震,2003-12-10 16:50:39,121.42,22.86,4.5,24.4,3,台東成功地震站南偏東方  26.7  公里(台東成功地震站南偏東方  26.7  公里)
132   ,2003-12-10 16:46:45,121.36,22.87,5.2,26.4,5,台東市地震站東偏北方  25.1  公里(台東市地震站東偏北方  25.1  公里)
小區域有感地震,2003-12-10 16:35:30,121.37,22.84,4.4,18.6,2,台東市地震站東偏北方  23.9  公里(台東市地震站東偏北方  23.9  公里)
131   ,2003-12-10 16:27:42,121.41,22.84,4.5,16,3,台東市地震站東偏北方  27.6  公里(台東市地震站東偏北方  27.6  公里)
