編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2012-12-31 15:51:42,120.9,23.46,4.4,3.7,3,嘉義市政府東方  45.9  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2012-12-31 00:26:57,120.9,23.48,3.5,4.5,2,雲林縣政府東偏南方  45.7  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2012-12-31 00:21:33,120.9,23.47,4.1,3.7,3,嘉義市政府東方  45.9  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2012-12-31 00:17:41,120.9,23.47,3.4,3.8,2,嘉義市政府東方  46.1  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
214   ,2012-12-31 00:03:25,120.91,23.47,5.3,4.4,4,嘉義市政府東方  46.3  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2012-12-30 20:06:46,121.31,22.85,3.2,9.6,1,台東縣政府東偏北方  19.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-30 13:48:05,121.94,24.5,4.1,59.1,2,宜蘭縣政府東南方  31.5  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-29 19:06:27,121.89,24.23,4.5,52.8,3,花蓮縣政府東北方  38.6  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-29 14:07:34,120.79,23.87,3.1,26.5,1,南投縣政府東偏南方  10.7  公里 (位於南投縣中寮鄉)(南投縣中寮鄉)
小區域有感地震,2012-12-29 02:59:12,121.54,23.71,2.5,5.4,3,花蓮縣政府南偏西方  31.8  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2012-12-28 05:43:33,121.47,23.92,2.8,13,2,花蓮縣政府西偏南方  17.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-12-26 19:26:53,121.61,24.02,2.9,7.7,2,花蓮縣政府北方  3.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2012-12-26 18:53:10,121.67,23.92,3.5,51.2,1,花蓮縣政府東南方  9.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-26 10:38:33,121.77,24.37,2.7,15.9,2,宜蘭縣政府南方  40.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2012-12-26 10:06:37,122.46,23.96,4.9,25.2,1,花蓮縣政府東方  85.5  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-25 01:26:03,121.62,24.02,2.4,7.6,2,花蓮縣政府北方  3.4  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
213   ,2012-12-24 11:17:52,121.28,22.53,5,67.8,2,台東縣政府南偏東方  28.5  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-23 22:37:43,121.45,24.32,3.9,5.9,3,花蓮縣政府北偏西方  40.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-12-23 15:47:13,121.45,24.33,2.9,5.9,1,花蓮縣政府北偏西方  41.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
212   ,2012-12-23 14:13:04,121.46,24.32,4.6,5.2,5,花蓮縣政府北偏西方  39.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
211   ,2012-12-22 15:42:30,120.99,23.18,3.5,7.1,4,台東縣政府北偏西方  49.6  公里 (位於台東縣海端鄉)(台東縣海端鄉)
小區域有感地震,2012-12-22 12:00:36,121.52,22.04,2.6,14.9,2,台東縣政府南偏東方  87.8  公里 (位於台東縣蘭嶼鄉)(台東縣蘭嶼鄉)
210   ,2012-12-22 11:24:34,121.49,21.99,4.2,14.1,5,台東縣政府南偏東方  91.3  公里 (位於台灣東南部海域)(台灣東南部海域)
209   ,2012-12-22 05:51:56,121.82,24.31,3,13.9,3,花蓮縣政府北偏東方  40.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-20 06:00:19,121.4,23.19,3,21.3,2,台東縣政府北偏東方  54.1  公里 (位於台東縣近海)(台東縣近海)
小區域有感地震,2012-12-17 17:00:43,121.22,21.99,4,31.3,2,台東縣政府南方  85.2  公里 (位於台灣東南部海域)(台灣東南部海域)
208   ,2012-12-17 12:56:48,122.01,24.81,4.2,6.4,3,宜蘭縣政府東偏北方  26.6  公里 (位於台灣東部海域)(台灣東部海域)
207   ,2012-12-16 23:30:22,121.54,24.11,3.4,17.8,3,花蓮縣政府西北方  15.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-12-16 21:20:22,121.85,24.47,2.4,7.2,3,宜蘭縣政府南偏東方  30.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2012-12-13 19:26:38,121.03,23.98,3.8,15,2,南投縣政府東偏北方  36.0  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2012-12-13 13:39:12,120.6,23.04,3.2,19.4,1,屏東縣政府北偏東方  40.9  公里 (位於高雄市杉林區)(高雄市杉林區)
小區域有感地震,2012-12-12 13:54:46,121.02,22.24,3.8,11.5,3,台東縣政府南偏西方  58.9  公里 (位於台灣東部海域)(台灣東部海域)
206   ,2012-12-11 18:32:04,121.65,24.06,4.8,27.7,4,花蓮縣政府北偏東方  8.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-11 12:36:08,121.61,23.96,3,9.2,2,花蓮縣政府南偏西方  3.2  公里 (位於花蓮縣近海)(花蓮縣近海)
205   ,2012-12-11 12:35:53,121.62,23.95,3.2,6.8,3,花蓮縣政府南方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-11 12:31:42,121.61,23.95,2.3,5.9,2,花蓮縣政府南方  4.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-11 05:18:46,121.03,22.23,3.7,11.2,2,台東縣政府南偏西方  59.2  公里 (位於台灣東部海域)(台灣東部海域)
204   ,2012-12-11 00:40:30,121.02,22.24,4.3,12.6,3,台東縣政府南偏西方  59.0  公里 (位於台灣東部海域)(台灣東部海域)
小區域有感地震,2012-12-09 16:28:51,120.99,24.71,2.2,6.9,1,新竹市政府南方  10.4  公里 (位於新竹縣峨眉鄉)(新竹縣峨眉鄉)
小區域有感地震,2012-12-08 22:26:54,122.45,25.67,6.2,312,2,基隆市政府東北方  92.3  公里 (位於台灣東北部海域)(台灣東北部海域)
小區域有感地震,2012-12-08 20:15:48,120.82,23.59,3.3,17.1,2,雲林縣政府東偏南方  32.6  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2012-12-07 19:45:34,121.58,24.49,2.9,5.9,2,宜蘭縣政府西南方  32.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2012-12-07 13:03:55,121.64,23.98,2,6.5,2,花蓮縣政府東偏南方  2.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-07 02:56:40,121.53,23.56,3.8,33.8,2,花蓮縣政府南偏西方  48.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-07 00:48:14,121.59,23.83,4.3,28,3,花蓮縣政府南方  18.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2012-12-06 06:09:38,121.45,24.33,3.4,6,3,花蓮縣政府北偏西方  41.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2012-12-05 22:43:06,121,24.72,2.3,5.3,1,新竹市政府南偏東方  9.9  公里 (位於新竹縣寶山鄉)(新竹縣寶山鄉)
203   ,2012-12-05 16:45:41,121.48,23.8,4.2,10.8,4,花蓮縣政府西南方  25.2  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2012-12-04 21:33:01,121.42,22.98,3.7,36.2,2,台東縣政府東北方  37.3  公里 (位於台灣東部海域)(台灣東部海域)
202   ,2012-12-03 03:43:31,121.56,23.97,4.8,11.8,5,花蓮縣政府西偏南方  6.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
