編號,地震時間,經度,緯度,規模,深度,最大震度,位置
042   ,1996-12-23 21:09:01,120.2,23.05,2.7,12.4,3,台南市地震站北方  7.7  公里(台南市地震站北方  7.7  公里)
041   ,1996-12-23 16:53:11,121.46,23.93,4,19.4,5,花蓮西林地震站北偏東方  13.0  公里(花蓮西林地震站北偏東方  13.0  公里)
040   ,1996-12-18 19:20:23,121.36,22.82,5,16.2,3,台東市地震站東偏北方  22.2  公里(台東市地震站東偏北方  22.2  公里)
039   ,1996-12-18 10:50:08,121.38,22.8,4.9,16.3,3,台東市地震站東偏北方  23.6  公里(台東市地震站東偏北方  23.6  公里)
038   ,1996-12-16 02:56:26,121.42,24.02,4.8,71.4,3,花蓮秀林地震站西偏南  19.7  公里(花蓮秀林地震站西偏南  19.7  公里)
037   ,1996-11-30 14:33:40,121.47,23.9,4,17.7,3,花蓮西林地震站北偏東方  10.0  公里(花蓮西林地震站北偏東方  10.0  公里)
036   ,1996-11-26 16:22:23,121.7,24.16,5.4,26.2,5,花蓮秀林地震站東北方  13.0  公里(花蓮秀林地震站東北方  13.0  公里)
035   ,1996-11-16 08:22:43,120.26,23.21,4.3,18.2,3,台南佳里地震站東偏北方  7.5  公里(台南佳里地震站東偏北方  7.5  公里)
034   ,1996-11-14 09:39:11,122.09,23.42,5.3,12.8,3,花蓮市地震站東南方  78.3  公里(花蓮市地震站東南方  78.3  公里)
033   ,1996-10-21 21:37:19,120.42,23.38,3.8,5,3,嘉義市地震站南方  12.8  公里(嘉義市地震站南方  12.8  公里)
032   ,1996-10-09 17:29:05,121,23.62,4.9,0.1,3,南投名間地震站東南方  42.5  公里(南投名間地震站東南方  42.5  公里)
031   ,1996-10-01 22:23:56,121.87,24.66,3.9,8.7,4,宜蘭蘇澳地震站北偏東方  5.5  公里(宜蘭蘇澳地震站北偏東方  5.5  公里)
030   ,1996-09-18 06:58:12,121.51,23.92,3.8,15,4,花蓮市地震站西偏南  12.0  公里(花蓮市地震站西偏南  12.0  公里)
029   ,1996-09-09 09:52:38,121.83,24.31,4.8,9,5,宜蘭南澳地震站東南方  15.2  公里(宜蘭南澳地震站東南方  15.2  公里)
028   ,1996-09-06 10:04:56,121.37,21.93,5.5,7,4,台東蘭嶼地震站西偏南  23.2  公里(台東蘭嶼地震站西偏南  23.2  公里)
027   ,1996-09-06 07:42:07,121.37,22,7.1,14.8,3,台東蘭嶼地震站西方  20.2  公里(台東蘭嶼地震站西方  20.2  公里)
