編號,地震時間,經度,緯度,規模,深度,最大震度,位置
062   ,1997-12-29 15:56:39,120.57,21.9,4.6,43.6,3,屏東恆春地震站西偏南  21.6  公里(屏東恆春地震站西偏南  21.6  公里)
061   ,1997-12-16 00:26:43,121.86,24.65,3.7,8.4,3,宜蘭蘇澳地震站北方  4.2  公里(宜蘭蘇澳地震站北方  4.2  公里)
060   ,1997-12-12 14:52:56,121.6,23.21,4.3,28,3,台東成功地震站東偏北方  26.6  公里(台東成功地震站東偏北方  26.6  公里)
059   ,1997-11-19 11:31:10,121.71,23.85,4.8,30.5,3,花蓮市地震站東南方  16.8  公里(花蓮市地震站東南方  16.8  公里)
058   ,1997-11-14 12:29:50,121.76,24.16,5.4,3.1,4,花蓮秀林地震站東偏北方  17.9  公里(花蓮秀林地震站東偏北方  17.9  公里)
057   ,1997-11-13 06:52:40,121.68,24.19,4.2,8.6,4,花蓮秀林地震站東北方  14.0  公里(花蓮秀林地震站東北方  14.0  公里)
056   ,1997-11-13 06:36:45,121.77,24.14,4.8,8.2,4,花蓮秀林地震站東偏北方  17.9  公里(花蓮秀林地震站東偏北方  17.9  公里)
055   ,1997-11-12 11:41:12,121.37,23.1,4,18.7,3,台東成功地震站西北方  .9  公里(台東成功地震站西北方  .9  公里)
054   ,1997-11-12 08:09:35,121.4,21.75,5.3,70.3,2,台東蘭嶼地震站南偏西方  35.5  公里(台東蘭嶼地震站南偏西方  35.5  公里)
053   ,1997-11-03 11:18:05,120.72,23.44,4.4,1.6,2,嘉義大埔地震站北偏東方  24.1  公里(嘉義大埔地震站北偏東方  24.1  公里)
052   ,1997-10-30 07:18:37,120.6,23.63,4.3,11.3,5,斗六市地震站東南方  11.5  公里(斗六市地震站東南方  11.5  公里)
051   ,1997-10-23 03:01:47,121.88,24.13,4.5,51.9,3,花蓮秀林地震站東方  28.3  公里(花蓮秀林地震站東方  28.3  公里)
050   ,1997-10-22 19:16:26,121.46,22.44,5.3,10.2,2,台東蘭嶼地震站北偏西方  46.2  公里(台東蘭嶼地震站北偏西方  46.2  公里)
049   ,1997-10-17 21:14:16,121.43,22.82,4.7,25.6,2,台東市地震站東偏北方  29.2  公里(台東市地震站東偏北方  29.2  公里)
048   ,1997-10-16 06:28:55,121.64,24.13,4.4,7.9,3,花蓮秀林地震站東北方  7.2  公里(花蓮秀林地震站東北方  7.2  公里)
047   ,1997-10-12 02:24:25,122.58,24.98,6.1,146.4,3,基隆市地震站東偏南方  83.1  公里(基隆市地震站東偏南方  83.1  公里)
046   ,1997-10-03 04:47:45,120.7,23.45,4.5,2.6,3,嘉義大埔地震站北偏東方  24.1  公里(嘉義大埔地震站北偏東方  24.1  公里)
045   ,1997-09-28 15:54:26,121.78,24.61,5,68.6,4,宜蘭蘇澳地震站西方  7.7  公里(宜蘭蘇澳地震站西方  7.7  公里)
044   ,1997-09-16 06:26:35,121.54,24.03,3.9,8.4,4,花蓮秀林地震站西南方  8.3  公里(花蓮秀林地震站西南方  8.3  公里)
043   ,1997-09-11 17:28:50,121.77,24.28,4.5,8.6,4,宜蘭南澳地震站南方  15.9  公里(宜蘭南澳地震站南方  15.9  公里)
042   ,1997-08-24 15:48:38,121.96,24.44,3.9,8.5,4,宜蘭南澳地震站東方  21.0  公里(宜蘭南澳地震站東方  21.0  公里)
