編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2007-04-14 20:52:48,122.09,24.48,3.3,21.1,2,宜蘭蘇澳地震站東偏南方  27.4  公里(宜蘭蘇澳地震站東偏南方  27.4  公里)
小區域有感地震,2007-04-13 19:04:44,121.67,24.14,3,8.7,3,花蓮秀林地震站東北方  8.8  公里(花蓮秀林地震站東北方  8.8  公里)
小區域有感地震,2007-04-13 12:24:32,121.66,24.14,3,8.3,3,花蓮秀林地震站東北方  8.3  公里(花蓮秀林地震站東北方  8.3  公里)
小區域有感地震,2007-04-13 08:52:14,120.35,22.34,3.4,35.4,1,高雄市地震站南方  25.2  公里(高雄市地震站南方  25.2  公里)
小區域有感地震,2007-04-12 03:37:26,120.55,23.65,3,10.9,2,斗六市地震站南方  7.8  公里(斗六市地震站南方  7.8  公里)
小區域有感地震,2007-04-11 06:04:45,122.13,24.92,4.6,112.5,2,宜蘭市地震站東偏北方  41.5  公里(宜蘭市地震站東偏北方  41.5  公里)
小區域有感地震,2007-04-10 19:03:57,121.46,23.33,3.8,39.4,2,花蓮玉里地震站東方  16.4  公里(花蓮玉里地震站東方  16.4  公里)
小區域有感地震,2007-04-10 04:02:48,121.89,24.49,3.2,14.8,3,宜蘭蘇澳地震站南偏東方  13.7  公里(宜蘭蘇澳地震站南偏東方  13.7  公里)
小區域有感地震,2007-04-08 17:58:51,121.78,24.39,2.8,9.5,4,宜蘭南澳地震站東南方  5.5  公里(宜蘭南澳地震站東南方  5.5  公里)
小區域有感地震,2007-04-08 16:55:19,121.67,24.06,3.1,6.6,2,花蓮秀林地震站東偏南方  6.9  公里(花蓮秀林地震站東偏南方  6.9  公里)
小區域有感地震,2007-04-08 13:36:26,121.2,22.96,4,5.8,3,台東成功地震站西南方  22.7  公里(台東成功地震站西南方  22.7  公里)
小區域有感地震,2007-04-07 20:34:19,121.49,23.95,2.7,18.3,3,花蓮市地震站西方  13.3  公里(花蓮市地震站西方  13.3  公里)
026   ,2007-04-07 10:06:40,121.59,23.97,3.2,4.3,4,花蓮市地震站西方  2.4  公里(花蓮市地震站西方  2.4  公里)
小區域有感地震,2007-04-06 16:25:19,121.31,22.63,3.5,26.1,1,台東市地震站東南方  21.6  公里(台東市地震站東南方  21.6  公里)
小區域有感地震,2007-04-04 21:17:52,122.14,24.43,4.4,57,2,宜蘭蘇澳地震站東偏南方  34.5  公里(宜蘭蘇澳地震站東偏南方  34.5  公里)
小區域有感地震,2007-04-04 17:40:40,122,24.38,3.8,18.5,3,宜蘭南澳地震站東方  26.1  公里(宜蘭南澳地震站東方  26.1  公里)
小區域有感地震,2007-04-03 14:57:53,122.29,24.04,4.6,19.2,1,花蓮市地震站東方  69.0  公里(花蓮市地震站東方  69.0  公里)
小區域有感地震,2007-04-02 12:04:06,121.99,24.38,3.5,20.9,3,宜蘭南澳地震站東方  25.1  公里(宜蘭南澳地震站東方  25.1  公里)
