編號,地震時間,經度,緯度,規模,深度,最大震度,位置
085   ,2023-12-31 05:57:10,121.839,24.6018,4.6,49.3,3,宜蘭縣政府南南東方  16.3  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2023-12-26 08:21:57,121.491,23.0357,3.7,26.6,2,臺東縣政府東北方  46.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-26 06:19:24,121.755,24.3803,3,6.3,4,宜蘭縣政府南方  38.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-12-25 19:04:24,121.184,23.1407,3.4,14.5,3,臺東縣政府北方  42.8  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-12-25 11:49:35,121.919,24.4283,3.8,29.9,1,宜蘭縣政府南南東方  37.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-24 17:19:17,121.323,22.6363,4.4,21,2,臺東縣政府東南方  22.0  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-12-24 05:21:18,121.308,22.6452,4.6,19.2,3,臺東縣政府東南方  20.2  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-12-24 05:07:51,121.303,22.6458,4.5,19,2,臺東縣政府東南方  19.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-12-23 10:32:34,122.141,24.2717,4.7,55.1,2,花蓮縣政府東北東方  61.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-22 18:09:31,120.923,23.7777,3.6,28.1,2,南投縣政府東南東方  27.5  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2023-12-22 10:02:12,122.141,24.9602,4.6,17.5,2,基隆市政府東南東方  44.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-22 10:02:07,122.2,24.9417,4.2,16.5,1,宜蘭縣政府東北東方  50.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-21 19:33:58,121.034,24.7068,2.6,11,1,新竹縣政府南方  13.5  公里 (位於新竹縣峨眉鄉)(新竹縣峨眉鄉)
小區域有感地震,2023-12-20 15:06:26,121.192,24.3073,3.5,12.4,3,臺中市政府東北東方  55.4  公里 (位於臺中市和平區)(臺中市和平區)
小區域有感地震,2023-12-19 11:37:58,122.06,23.7587,4.4,43.1,2,花蓮縣政府東南東方  51.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-19 11:27:52,121.183,23.1387,3.8,14.4,2,臺東縣政府北方  42.6  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-12-19 09:07:49,121.179,23.1338,3.7,14.2,2,臺東縣政府北方  42.1  公里 (位於臺東縣池上鄉)(臺東縣池上鄉)
小區域有感地震,2023-12-16 20:23:03,121.552,23.7783,3.9,18.7,2,花蓮縣政府南南西方  24.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-12-15 23:31:48,121.545,23.174,3.8,46.5,2,臺東縣政府東北方  61.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-14 06:10:11,121.466,23.913,3.6,18.1,3,花蓮縣政府西南西方  17.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-12-13 07:27:51,121.512,23.7662,3.9,7.7,3,花蓮縣政府南南西方  27.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-12-13 03:01:37,121.513,23.7603,4,8.5,3,花蓮縣政府南南西方  27.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-12-13 01:34:26,121.791,24.734,3.3,9.5,2,宜蘭縣政府東方  2.9  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉)
小區域有感地震,2023-12-10 20:46:45,121.018,23.3143,3.3,3.6,2,高雄市政府東北方  105.5  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2023-12-09 14:19:25,122.684,24.499,5.3,96.6,2,宜蘭縣政府東南東方  96.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-12-08 07:56:14,121.468,23.9292,3.2,17.6,2,花蓮縣政府西南西方  17.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-12-07 21:21:56,121.308,23.4655,4.1,12.5,3,花蓮縣政府南南西方  66.3  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
