編號,地震時間,經度,緯度,規模,深度,最大震度,位置
100   ,2015-12-31 08:53:14,121.8,21.41,5,147.4,2,臺東縣政府南偏東方  163.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2015-12-28 08:01:49,121.38,23.21,3.5,19.5,2,臺東縣政府北偏東方  55.3  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2015-12-27 18:39:34,121.6,24.19,3.2,20.6,3,花蓮縣政府北方  22.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2015-12-27 15:00:38,122.59,24.57,4.8,93.6,2,宜蘭縣政府東方  85.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-27 00:09:31,119.97,22.53,3.2,36.5,1,高雄市政府西偏南方  36.8  公里 (位於臺灣西部海域)(臺灣西部海域)
099   ,2015-12-26 12:05:24,121.68,24.21,4.4,15.7,4,花蓮縣政府北偏東方  25.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2015-12-26 10:35:13,121.03,22.41,2.9,12.1,1,臺東縣政府南偏西方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-26 05:21:41,121.23,24.8,3.2,11.8,1,桃園縣政府南偏西方  22.1  公里 (位於新竹縣關西鎮)(新竹縣關西鎮)
098   ,2015-12-26 05:10:05,121.23,24.8,3.7,11.3,2,新竹縣政府東方  22.4  公里 (位於新竹縣關西鎮)(新竹縣關西鎮)
097   ,2015-12-25 05:20:22,121.03,24.05,4.6,21.2,3,臺中市政府東偏南方  36.9  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
096   ,2015-12-25 03:18:31,121.05,23.97,4.1,7.4,3,南投縣政府東方  37.0  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
小區域有感地震,2015-12-24 17:11:34,121.79,24.06,3.9,22.1,2,花蓮縣政府東偏北方  18.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-24 02:40:00,121.64,23.85,3.9,36.8,2,花蓮縣政府南方  16.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2015-12-22 22:41:38,121.56,24.18,2.9,23.3,3,花蓮縣政府北偏西方  22.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
095   ,2015-12-22 14:08:55,121.59,23.82,4.4,27.7,3,花蓮縣政府南方  19.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2015-12-22 12:30:17,121.79,24.37,3.1,16.4,3,宜蘭縣政府南方  40.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2015-12-21 12:51:30,121.96,24.4,3.3,20,3,宜蘭縣政府南偏東方  41.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-21 06:36:45,120.32,23.23,3.7,14.6,2,嘉義縣政府南方  25.3  公里 (位於臺南市官田區)(臺南市官田區)
小區域有感地震,2015-12-21 05:46:02,121.94,24.83,3.2,7.4,2,宜蘭縣政府東偏北方  21.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-21 01:05:03,121.84,24.43,3,13.3,4,宜蘭縣政府南偏東方  34.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2015-12-20 18:13:22,121.97,24.52,3.8,13.1,3,宜蘭縣政府東南方  30.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2015-12-18 02:38:38,121.02,24.73,2.5,8.4,2,新竹市政府東南方  9.7  公里 (位於新竹縣寶山鄉)(新竹縣寶山鄉)
小區域有感地震,2015-12-17 11:03:14,121.53,23.21,3.7,38.3,2,臺東縣政府東北方  64.3  公里 (位於臺灣東部海域)(臺灣東部海域)
094   ,2015-12-14 15:19:31,121.46,23.92,4.2,22.3,4,花蓮縣政府西偏南方  18.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2015-12-13 02:28:08,121.34,23.39,3.7,11.4,3,花蓮縣政府南偏西方  72.4  公里 (位於花蓮縣玉里鎮)(花蓮縣玉里鎮)
