編號,地震時間,經度,緯度,規模,深度,最大震度,位置
057   ,1998-12-31 01:49:54,121.75,24.24,4.3,11.5,4,宜蘭南澳地震站南方  20.9  公里(宜蘭南澳地震站南方  20.9  公里)
056   ,1998-12-24 18:37:27,121.88,24.63,4.6,75.4,2,宜蘭蘇澳地震站東北方  3.2  公里(宜蘭蘇澳地震站東北方  3.2  公里)
055   ,1998-12-20 18:34:04,120.54,23.22,3.9,2.8,4,台南東山地震站東南方  6.2  公里(台南東山地震站東南方  6.2  公里)
054   ,1998-12-16 11:12:57,121.6,23.98,3.4,10.4,3,花蓮市地震站西偏北方  1.0  公里(花蓮市地震站西偏北方  1.0  公里)
053   ,1998-12-14 08:59:03,122.16,24.29,5.2,38.7,4,宜蘭南澳地震站東偏南方  43.9  公里(宜蘭南澳地震站東偏南方  43.9  公里)
052   ,1998-11-29 21:17:15,121.78,24.4,3.3,9.6,4,宜蘭南澳地震站東南方  4.3  公里(宜蘭南澳地震站東南方  4.3  公里)
051   ,1998-11-26 04:22:06,121.62,23.97,3.5,6.6,3,花蓮市地震站東南方  .7  公里(花蓮市地震站東南方  .7  公里)
050   ,1998-11-24 13:33:56,121.73,24.59,4,7.2,4,宜蘭蘇澳地震站西方  13.0  公里(宜蘭蘇澳地震站西方  13.0  公里)
049   ,1998-11-19 18:30:02,121.77,23.79,5,42.3,3,花蓮市地震站東南方  26.2  公里(花蓮市地震站東南方  26.2  公里)
048   ,1998-11-18 12:09:08,121.59,23.98,3,9.2,3,花蓮市地震站西偏北方  2.1  公里(花蓮市地震站西偏北方  2.1  公里)
047   ,1998-11-18 10:36:44,121.6,23.96,3.3,9.1,3,花蓮市地震站西南方  2.4  公里(花蓮市地震站西南方  2.4  公里)
046   ,1998-11-18 06:27:32,120.79,22.83,5.5,16.5,6,高雄甲仙地震站東南方  34.3  公里(高雄甲仙地震站東南方  34.3  公里)
045   ,1998-11-03 15:06:37,121.15,22.15,5.4,24.7,4,台東大武地震站東南方  33.9  公里(台東大武地震站東南方  33.9  公里)
044   ,1998-10-11 12:56:34,121.71,23.89,4.6,44.9,3,花蓮市地震站東南方  13.7  公里(花蓮市地震站東南方  13.7  公里)
043   ,1998-10-03 21:49:46,120.64,23.56,3.8,13,3,斗六市地震站南偏東方  20.6  公里(斗六市地震站南偏東方  20.6  公里)
042   ,1998-09-22 00:29:37,121.55,23.94,4.6,9.7,4,花蓮市地震站西偏南  7.9  公里(花蓮市地震站西偏南  7.9  公里)
041   ,1998-09-21 14:55:04,120.72,23.5,3.8,4.8,3,嘉義市地震站東方  29.5  公里(嘉義市地震站東方  29.5  公里)
040   ,1998-09-16 12:56:11,120.84,23.84,4.5,26.3,5,南投名間地震站東偏南方  15.6  公里(南投名間地震站東偏南方  15.6  公里)
039   ,1998-09-13 13:34:48,123.01,24.24,5.8,28.1,2,宜蘭蘇澳地震站東偏南方  124.2  公里(宜蘭蘇澳地震站東偏南方  124.2  公里)
038   ,1998-09-04 18:40:50,121.58,23.91,5,11,4,花蓮市地震站南偏西方  7.8  公里(花蓮市地震站南偏西方  7.8  公里)
037   ,1998-08-16 19:13:03,120.53,23.2,4.8,8,5,台南東山地震站南偏東方  7.4  公里(台南東山地震站南偏東方  7.4  公里)
036   ,1998-08-09 01:49:04,121.6,24.02,4.2,18.6,3,花蓮市地震站北偏西方  5.6  公里(花蓮市地震站北偏西方  5.6  公里)
035   ,1998-07-31 15:40:00,121.86,24.75,4,8.1,4,宜蘭市地震站東方  10.7  公里(宜蘭市地震站東方  10.7  公里)
034   ,1998-07-30 16:15:41,121.41,22.93,4.5,12.4,3,台東成功地震站南偏東方  18.7  公里(台東成功地震站南偏東方  18.7  公里)
