編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2010-12-27 17:01:36,120.55,23.18,3.7,14.7,2,台南市政府東偏北方  43.1  公里(台南市政府東偏北方  43.1  公里)
153   ,2010-12-25 15:48:08,120.72,22.7,3.8,22.6,3,屏東縣政府東方  24.4  公里(屏東縣政府東方  24.4  公里)
小區域有感地震,2010-12-25 08:37:44,121.82,24.56,2.5,5.5,2,宜蘭縣政府南偏東方  19.7  公里(宜蘭縣政府南偏東方  19.7  公里)
小區域有感地震,2010-12-24 01:30:17,121.84,24.56,2.6,8.2,2,宜蘭蘇澳地震站南偏西方  5.2  公里(宜蘭蘇澳地震站南偏西方  5.2  公里)
小區域有感地震,2010-12-23 15:28:10,121.83,24.57,2.7,7.8,2,宜蘭蘇澳地震站西南方  5.4  公里(宜蘭蘇澳地震站西南方  5.4  公里)
小區域有感地震,2010-12-23 05:51:00,121.82,24.56,2.4,5.3,2,宜蘭蘇澳地震站西南方  6.6  公里(宜蘭蘇澳地震站西南方  6.6  公里)
小區域有感地震,2010-12-23 04:01:44,121.32,23.46,2.7,9.9,3,花蓮玉里地震站北方  12.1  公里(花蓮玉里地震站北方  12.1  公里)
小區域有感地震,2010-12-22 20:33:54,121.71,24.08,4.2,40.2,2,花蓮秀林地震站東方  10.4  公里(花蓮秀林地震站東方  10.4  公里)
小區域有感地震,2010-12-21 03:41:47,120.99,22.56,2.6,8.3,3,台東大武地震站北偏東方  23.7  公里(台東大武地震站北偏東方  23.7  公里)
小區域有感地震,2010-12-21 02:53:34,121.84,24.41,2.9,12.5,3,宜蘭南澳地震站東方  9.3  公里(宜蘭南澳地震站東方  9.3  公里)
小區域有感地震,2010-12-21 01:32:32,121.46,23.91,2.5,16.5,1,花蓮西林地震站北偏東方  11.1  公里(花蓮西林地震站北偏東方  11.1  公里)
小區域有感地震,2010-12-20 21:05:01,121.83,24.56,2.3,7.5,2,宜蘭蘇澳地震站南偏西方  6.1  公里(宜蘭蘇澳地震站南偏西方  6.1  公里)
小區域有感地震,2010-12-20 12:52:14,122.02,24.36,3.9,25.5,2,宜蘭南澳地震站東偏南方  28.6  公里(宜蘭南澳地震站東偏南方  28.6  公里)
小區域有感地震,2010-12-19 10:12:56,120.98,24.75,2.1,9.6,1,新竹竹北地震站南偏西方  9.1  公里(新竹竹北地震站南偏西方  9.1  公里)
小區域有感地震,2010-12-18 10:25:27,121.84,24.56,2.3,7.3,2,宜蘭蘇澳地震站南偏西方  5.8  公里(宜蘭蘇澳地震站南偏西方  5.8  公里)
小區域有感地震,2010-12-18 05:12:57,121.82,24.56,2.5,5.7,2,宜蘭蘇澳地震站西南方  6.3  公里(宜蘭蘇澳地震站西南方  6.3  公里)
152   ,2010-12-17 07:45:47,121.01,24.75,2.8,4.3,3,新竹竹北地震站南方  8.7  公里(新竹竹北地震站南方  8.7  公里)
小區域有感地震,2010-12-16 03:36:38,121.89,24.44,3.4,22.9,2,宜蘭南澳地震站東方  14.3  公里(宜蘭南澳地震站東方  14.3  公里)
小區域有感地震,2010-12-15 20:17:35,121.82,24.56,2.6,5.5,2,宜蘭蘇澳地震站西南方  6.1  公里(宜蘭蘇澳地震站西南方  6.1  公里)
小區域有感地震,2010-12-15 05:37:17,121.95,24.49,3.1,20.2,2,宜蘭蘇澳地震站東南方  16.6  公里(宜蘭蘇澳地震站東南方  16.6  公里)
151   ,2010-12-15 02:03:11,121.84,24.26,3.7,24.9,3,宜蘭南澳地震站南偏東方  20.8  公里(宜蘭南澳地震站南偏東方  20.8  公里)
小區域有感地震,2010-12-14 22:31:11,121.84,24.26,3.7,25,3,宜蘭南澳地震站南偏東方  20.9  公里(宜蘭南澳地震站南偏東方  20.9  公里)
小區域有感地震,2010-12-14 13:05:38,121.69,24.14,3.1,10.6,3,花蓮秀林地震站東偏北方  11.1  公里(花蓮秀林地震站東偏北方  11.1  公里)
小區域有感地震,2010-12-12 09:54:28,121.26,22.86,3.8,15.3,2,台東市地震站東北方  16.6  公里(台東市地震站東北方  16.6  公里)
小區域有感地震,2010-12-11 20:49:34,121.57,23.65,3.5,30,2,花蓮西林地震站東南方  22.3  公里(花蓮西林地震站東南方  22.3  公里)
小區域有感地震,2010-12-10 15:04:54,121.31,23.09,3.7,14.8,3,台東成功地震站西方  6.5  公里(台東成功地震站西方  6.5  公里)
小區域有感地震,2010-12-10 04:42:07,122.14,21.33,5.2,167.1,1,台東蘭嶼地震站東南方  98.9  公里(台東蘭嶼地震站東南方  98.9  公里)
150   ,2010-12-09 13:20:53,120.69,23.51,4,7.8,3,嘉義阿里山地震站西方  12.4  公里(嘉義阿里山地震站西方  12.4  公里)
小區域有感地震,2010-12-09 02:13:38,121.82,24.56,2.8,5.7,3,宜蘭蘇澳地震站西南方  6.3  公里(宜蘭蘇澳地震站西南方  6.3  公里)
149   ,2010-12-08 15:53:13,121.8,24.2,4.2,16.6,3,花蓮秀林地震站東偏北方  24.0  公里(花蓮秀林地震站東偏北方  24.0  公里)
小區域有感地震,2010-12-08 12:44:44,122.36,24.06,4.4,24.6,1,宜蘭南澳地震站東偏南方  73.7  公里(宜蘭南澳地震站東偏南方  73.7  公里)
148   ,2010-12-07 10:46:14,121.37,22.96,5.1,40.5,3,台東成功地震站南方  14.8  公里(台東成功地震站南方  14.8  公里)
小區域有感地震,2010-12-06 11:11:50,121.48,23.96,2.8,19.1,2,花蓮市地震站西方  13.9  公里(花蓮市地震站西方  13.9  公里)
147   ,2010-12-06 10:14:12,121.43,23.68,5.2,24.8,4,花蓮西林地震站南方  15.0  公里(花蓮西林地震站南方  15.0  公里)
小區域有感地震,2010-12-05 10:07:18,121.56,24.16,3,18.9,2,花蓮秀林地震站北偏西方  9.3  公里(花蓮秀林地震站北偏西方  9.3  公里)
小區域有感地震,2010-11-30 19:44:34,120.35,23.47,2.9,9.3,2,嘉義市地震站西偏南  8.5  公里(嘉義市地震站西偏南  8.5  公里)
146   ,2010-11-30 08:54:08,121.35,23.57,3.4,15.4,4,花蓮玉里地震站北方  24.6  公里(花蓮玉里地震站北方  24.6  公里)
145   ,2010-11-29 01:35:43,121.36,23.24,4.2,13.8,3,花蓮玉里地震站南偏東方  13.5  公里(花蓮玉里地震站南偏東方  13.5  公里)
小區域有感地震,2010-11-27 23:32:39,121.75,24.25,3,12.4,2,宜蘭南澳地震站南方  19.0  公里(宜蘭南澳地震站南方  19.0  公里)
小區域有感地震,2010-11-27 16:38:20,121.85,24.56,3.3,9.7,3,宜蘭蘇澳地震站南方  5.8  公里(宜蘭蘇澳地震站南方  5.8  公里)
小區域有感地震,2010-11-27 03:53:32,121.79,24.22,3.7,12.8,3,宜蘭南澳地震站南方  23.6  公里(宜蘭南澳地震站南方  23.6  公里)
144   ,2010-11-26 23:13:44,121.8,24.2,4.8,13.5,4,花蓮秀林地震站東偏北方  23.8  公里(花蓮秀林地震站東偏北方  23.8  公里)
小區域有感地震,2010-11-26 19:09:06,121.62,23.55,3.7,41.2,1,花蓮西林地震站東南方  34.7  公里(花蓮西林地震站東南方  34.7  公里)
143   ,2010-11-26 03:30:46,121.84,24.55,3.3,8.4,4,宜蘭蘇澳地震站南偏西方  6.6  公里(宜蘭蘇澳地震站南偏西方  6.6  公里)
小區域有感地震,2010-11-26 02:18:56,121.82,24.57,3,9.7,2,宜蘭蘇澳地震站西南方  5.9  公里(宜蘭蘇澳地震站西南方  5.9  公里)
小區域有感地震,2010-11-26 01:21:39,121.84,24.55,2.8,8.6,3,宜蘭蘇澳地震站南偏西方  6.6  公里(宜蘭蘇澳地震站南偏西方  6.6  公里)
小區域有感地震,2010-11-24 22:31:41,121.76,24.01,3.9,23.6,2,花蓮市地震站東偏北方  15.2  公里(花蓮市地震站東偏北方  15.2  公里)
小區域有感地震,2010-11-24 22:15:32,121.7,24.01,4.2,33.1,3,花蓮市地震站東偏北方  9.7  公里(花蓮市地震站東偏北方  9.7  公里)
小區域有感地震,2010-11-24 13:23:08,121.81,24.56,2.9,7.8,3,宜蘭蘇澳地震站西南方  7.1  公里(宜蘭蘇澳地震站西南方  7.1  公里)
小區域有感地震,2010-11-23 09:42:16,120.11,23.87,3.1,20.7,1,彰化大城地震站西方  18.7  公里(彰化大城地震站西方  18.7  公里)
小區域有感地震,2010-11-23 03:48:31,121.85,24.46,3,14.8,3,宜蘭南澳地震站東偏北方  10.6  公里(宜蘭南澳地震站東偏北方  10.6  公里)
小區域有感地震,2010-11-22 11:10:52,121.82,24.55,2.6,8,3,宜蘭蘇澳地震站南偏西方  7.4  公里(宜蘭蘇澳地震站南偏西方  7.4  公里)
142   ,2010-11-21 20:31:45,121.69,23.85,6.1,46.9,5,花蓮市地震站南偏東方  15.5  公里(花蓮市地震站南偏東方  15.5  公里)
小區域有感地震,2010-11-21 06:32:51,121.81,24.56,2.6,5.2,2,宜蘭蘇澳地震站西南方  7.8  公里(宜蘭蘇澳地震站西南方  7.8  公里)
小區域有感地震,2010-11-20 13:16:26,121.93,24.49,3.3,17.2,3,宜蘭蘇澳地震站南偏東方  14.7  公里(宜蘭蘇澳地震站南偏東方  14.7  公里)
小區域有感地震,2010-11-20 04:25:48,121.84,24.56,3.1,8.5,3,宜蘭蘇澳地震站南偏西方  5.5  公里(宜蘭蘇澳地震站南偏西方  5.5  公里)
小區域有感地震,2010-11-20 01:45:15,120.33,23.43,3.3,7.5,2,嘉義市地震站西偏南  12.8  公里(嘉義市地震站西偏南  12.8  公里)
141   ,2010-11-19 20:49:44,121.85,24.82,3.9,83.1,1,宜蘭市地震站東偏北方  11.4  公里(宜蘭市地震站東偏北方  11.4  公里)
小區域有感地震,2010-11-19 09:43:45,120.48,23.74,3.3,25.3,2,斗六市地震站西偏北方  6.4  公里(斗六市地震站西偏北方  6.4  公里)
小區域有感地震,2010-11-19 09:21:28,120.49,23.75,2.8,25.5,1,斗六市地震站西偏北方  6.3  公里(斗六市地震站西偏北方  6.3  公里)
小區域有感地震,2010-11-19 07:52:54,121.47,23.94,3.2,18.9,2,花蓮西林地震站北偏東方  14.6  公里(花蓮西林地震站北偏東方  14.6  公里)
小區域有感地震,2010-11-19 06:31:41,121.84,24.55,3.1,9.2,2,宜蘭蘇澳地震站南偏西方  6.6  公里(宜蘭蘇澳地震站南偏西方  6.6  公里)
140   ,2010-11-19 02:14:10,121.85,24.55,4.1,9.2,4,宜蘭蘇澳地震站南偏西方  6.4  公里(宜蘭蘇澳地震站南偏西方  6.4  公里)
小區域有感地震,2010-11-19 02:13:50,121.84,24.55,3.5,8.8,4,宜蘭蘇澳地震站南偏西方  6.9  公里(宜蘭蘇澳地震站南偏西方  6.9  公里)
小區域有感地震,2010-11-18 22:19:38,121.83,24.55,2.9,8.6,3,宜蘭蘇澳地震站南偏西方  7.0  公里(宜蘭蘇澳地震站南偏西方  7.0  公里)
小區域有感地震,2010-11-18 22:02:08,121.84,24.56,2.8,8.4,2,宜蘭蘇澳地震站南偏西方  6.2  公里(宜蘭蘇澳地震站南偏西方  6.2  公里)
小區域有感地震,2010-11-18 10:23:15,121.84,24.54,3.3,9,2,宜蘭蘇澳地震站南偏西方  7.2  公里(宜蘭蘇澳地震站南偏西方  7.2  公里)
小區域有感地震,2010-11-18 10:13:28,121.83,24.56,3,8,3,宜蘭蘇澳地震站南偏西方  6.1  公里(宜蘭蘇澳地震站南偏西方  6.1  公里)
小區域有感地震,2010-11-18 09:16:31,121.11,24.62,3.1,5.5,3,新竹竹北地震站南偏東方  25.4  公里(新竹竹北地震站南偏東方  25.4  公里)
小區域有感地震,2010-11-18 04:16:35,120.41,23.22,3.5,17.4,2,台南東山地震站西偏南  10.3  公里(台南東山地震站西偏南  10.3  公里)
139   ,2010-11-18 01:01:21,121.64,24.1,4,12.8,4,花蓮秀林地震站東偏北方  4.6  公里(花蓮秀林地震站東偏北方  4.6  公里)
138   ,2010-11-17 19:36:05,121.83,24.4,3.7,12.6,4,宜蘭南澳地震站東偏南方  8.4  公里(宜蘭南澳地震站東偏南方  8.4  公里)
小區域有感地震,2010-11-16 18:57:56,121.6,23.66,3.8,34.2,2,花蓮西林地震站東南方  23.3  公里(花蓮西林地震站東南方  23.3  公里)
137   ,2010-11-16 11:00:35,121.66,24.1,4.5,12.3,5,花蓮秀林地震站東偏北方  6.3  公里(花蓮秀林地震站東偏北方  6.3  公里)
136   ,2010-11-16 03:39:01,120.65,23.6,3.6,6,4,斗六市地震站東南方  16.6  公里(斗六市地震站東南方  16.6  公里)
小區域有感地震,2010-11-15 11:41:50,121.72,24.23,3.1,14.3,2,花蓮秀林地震站東北方  20.8  公里(花蓮秀林地震站東北方  20.8  公里)
小區域有感地震,2010-11-15 11:10:39,121.65,23.95,2.8,12.3,1,花蓮市地震站東南方  5.2  公里(花蓮市地震站東南方  5.2  公里)
小區域有感地震,2010-11-15 08:16:34,121.72,24.22,3.5,15.7,3,花蓮秀林地震站東北方  19.0  公里(花蓮秀林地震站東北方  19.0  公里)
小區域有感地震,2010-11-15 03:27:07,121.99,24.35,3.3,18.5,3,宜蘭南澳地震站東偏南方  26.1  公里(宜蘭南澳地震站東偏南方  26.1  公里)
小區域有感地震,2010-11-14 07:55:28,121.81,24.56,3,6.4,3,宜蘭蘇澳地震站西南方  7.6  公里(宜蘭蘇澳地震站西南方  7.6  公里)
小區域有感地震,2010-11-14 06:17:56,121.65,23.78,3.4,41.4,1,花蓮西林地震站東方  22.0  公里(花蓮西林地震站東方  22.0  公里)
小區域有感地震,2010-11-14 04:59:38,121.34,23.06,4.1,20.7,2,台東成功地震站西南方  5.4  公里(台東成功地震站西南方  5.4  公里)
小區域有感地震,2010-11-13 22:51:09,121.8,24.56,2.8,5.8,2,宜蘭蘇澳地震站西南方  7.8  公里(宜蘭蘇澳地震站西南方  7.8  公里)
小區域有感地震,2010-11-13 21:49:14,121.68,24.13,3,13,3,花蓮秀林地震站東偏北方  9.1  公里(花蓮秀林地震站東偏北方  9.1  公里)
135   ,2010-11-12 23:39:00,120.61,22.19,5.3,38,3,屏東枋寮地震站南方  20.4  公里(屏東枋寮地震站南方  20.4  公里)
134   ,2010-11-12 21:08:49,122.48,24.1,5.3,26.1,2,宜蘭南澳地震站東偏南方  82.5  公里(宜蘭南澳地震站東偏南方  82.5  公里)
小區域有感地震,2010-11-11 22:01:51,121.81,24.57,2.6,6.9,2,宜蘭蘇澳地震站西南方  6.7  公里(宜蘭蘇澳地震站西南方  6.7  公里)
133   ,2010-11-11 16:20:57,121.91,24.41,3.5,20.5,4,宜蘭南澳地震站東方  15.9  公里(宜蘭南澳地震站東方  15.9  公里)
小區域有感地震,2010-11-11 00:30:25,121.69,24.2,3.3,11.6,3,花蓮秀林地震站東北方  16.2  公里(花蓮秀林地震站東北方  16.2  公里)
小區域有感地震,2010-11-10 18:00:16,121.7,24.2,3.1,14.7,2,花蓮秀林地震站東北方  16.2  公里(花蓮秀林地震站東北方  16.2  公里)
小區域有感地震,2010-11-10 17:37:00,121.25,22.88,4,15,2,台東市地震站東北方  17.0  公里(台東市地震站東北方  17.0  公里)
小區域有感地震,2010-11-10 16:33:02,121.82,24.56,2.6,7,2,宜蘭蘇澳地震站西南方  6.8  公里(宜蘭蘇澳地震站西南方  6.8  公里)
小區域有感地震,2010-11-10 09:27:59,121.81,24.57,2.7,5.7,2,宜蘭蘇澳地震站西南方  6.9  公里(宜蘭蘇澳地震站西南方  6.9  公里)
小區域有感地震,2010-11-10 04:39:38,121.81,24.56,3.1,6.9,3,宜蘭蘇澳地震站西南方  7.4  公里(宜蘭蘇澳地震站西南方  7.4  公里)
132   ,2010-11-10 02:30:53,121.82,24.56,4.3,8.3,5,宜蘭蘇澳地震站西南方  7.1  公里(宜蘭蘇澳地震站西南方  7.1  公里)
小區域有感地震,2010-11-09 18:35:43,121.72,24.44,2.3,7.8,3,宜蘭南澳地震站西偏北方  3.0  公里(宜蘭南澳地震站西偏北方  3.0  公里)
小區域有感地震,2010-11-09 13:23:25,121.81,24.56,2.6,6.7,2,宜蘭蘇澳地震站西南方  7.0  公里(宜蘭蘇澳地震站西南方  7.0  公里)
小區域有感地震,2010-11-09 05:35:41,121.71,24.23,3.1,16.3,3,花蓮秀林地震站東北方  19.6  公里(花蓮秀林地震站東北方  19.6  公里)
小區域有感地震,2010-11-09 05:21:43,120.42,23.21,3.2,17.9,1,台南東山地震站西偏南  11.0  公里(台南東山地震站西偏南  11.0  公里)
小區域有感地震,2010-11-09 01:23:58,121.81,24.56,2.4,6.2,2,宜蘭蘇澳地震站西南方  7.1  公里(宜蘭蘇澳地震站西南方  7.1  公里)
131   ,2010-11-08 21:01:20,120.41,23.21,5.2,17.5,4,台南東山地震站西偏南  11.2  公里(台南東山地震站西偏南  11.2  公里)
小區域有感地震,2010-11-06 08:22:06,121.96,24.03,3.6,43.5,2,花蓮市地震站東方  35.5  公里(花蓮市地震站東方  35.5  公里)
130   ,2010-11-06 05:31:22,121.46,23.94,3.2,18.5,3,花蓮西林地震站北方  14.3  公里(花蓮西林地震站北方  14.3  公里)
小區域有感地震,2010-11-06 01:44:57,121.99,24.39,3,16.4,3,宜蘭南澳地震站東方  25.1  公里(宜蘭南澳地震站東方  25.1  公里)
小區域有感地震,2010-11-05 14:49:36,121.73,24.24,3,13.2,2,宜蘭南澳地震站南方  21.0  公里(宜蘭南澳地震站南方  21.0  公里)
小區域有感地震,2010-11-05 09:11:33,120.76,23.77,3.3,23.1,1,南投名間地震站南偏東方  13.3  公里(南投名間地震站南偏東方  13.3  公里)
小區域有感地震,2010-11-05 02:22:24,121.62,21.87,3.9,14.4,4,台東蘭嶼地震站南偏東方  20.3  公里(台東蘭嶼地震站南偏東方  20.3  公里)
小區域有感地震,2010-11-04 07:49:49,121,24.76,2.6,16.6,2,新竹竹北地震站南偏西方  7.4  公里(新竹竹北地震站南偏西方  7.4  公里)
小區域有感地震,2010-11-04 03:16:47,120.46,23.51,2.7,8.7,1,嘉義市地震站東偏北方  2.9  公里(嘉義市地震站東偏北方  2.9  公里)
129   ,2010-11-02 15:03:25,121.06,24.53,3.7,5,3,苗栗市地震站東方  24.3  公里(苗栗市地震站東方  24.3  公里)
小區域有感地震,2010-11-02 09:45:05,121.66,23.94,3,11.9,2,花蓮市地震站東偏南方  6.2  公里(花蓮市地震站東偏南方  6.2  公里)
小區域有感地震,2010-10-30 21:05:39,120.33,23.43,3.4,7.6,3,嘉義市地震站西偏南  12.7  公里(嘉義市地震站西偏南  12.7  公里)
小區域有感地震,2010-10-30 19:03:02,121.72,24.2,3.1,15.3,3,花蓮秀林地震站東北方  17.8  公里(花蓮秀林地震站東北方  17.8  公里)
小區域有感地震,2010-10-30 18:46:35,121.71,24.22,2.9,10.9,3,花蓮秀林地震站東北方  18.9  公里(花蓮秀林地震站東北方  18.9  公里)
小區域有感地震,2010-10-30 18:21:50,121.71,24.22,2.8,10.6,3,花蓮秀林地震站東北方  18.8  公里(花蓮秀林地震站東北方  18.8  公里)
小區域有感地震,2010-10-30 15:53:09,121.72,24.24,2.9,11.6,2,花蓮秀林地震站東北方  20.7  公里(花蓮秀林地震站東北方  20.7  公里)
小區域有感地震,2010-10-30 06:21:22,121.72,24.23,3.5,12.6,3,花蓮秀林地震站東北方  19.9  公里(花蓮秀林地震站東北方  19.9  公里)
小區域有感地震,2010-10-30 01:52:18,121.72,24.23,2.9,11.8,2,花蓮秀林地震站東北方  20.3  公里(花蓮秀林地震站東北方  20.3  公里)
小區域有感地震,2010-10-30 00:35:22,121.72,24.23,3.3,14.7,3,花蓮秀林地震站東北方  19.8  公里(花蓮秀林地震站東北方  19.8  公里)
小區域有感地震,2010-10-30 00:23:23,121.72,24.24,2.5,12.6,1,宜蘭南澳地震站南方  20.9  公里(宜蘭南澳地震站南方  20.9  公里)
128   ,2010-10-29 23:53:40,121.72,24.23,4,12.6,4,花蓮秀林地震站東北方  20.7  公里(花蓮秀林地震站東北方  20.7  公里)
小區域有感地震,2010-10-29 23:51:08,121.72,24.23,3.1,14.8,3,花蓮秀林地震站東北方  20.2  公里(花蓮秀林地震站東北方  20.2  公里)
127   ,2010-10-29 23:46:18,121.72,24.22,3.4,14.8,3,花蓮秀林地震站東北方  19.9  公里(花蓮秀林地震站東北方  19.9  公里)
小區域有感地震,2010-10-29 23:42:29,121.72,24.22,2.9,15.1,2,花蓮秀林地震站東北方  20.0  公里(花蓮秀林地震站東北方  20.0  公里)
小區域有感地震,2010-10-29 23:33:28,121.71,24.24,2.6,10.9,2,花蓮秀林地震站北偏東方  20.1  公里(花蓮秀林地震站北偏東方  20.1  公里)
小區域有感地震,2010-10-29 23:31:51,121.72,24.24,3.2,11.3,2,宜蘭南澳地震站南方  21.0  公里(宜蘭南澳地震站南方  21.0  公里)
126   ,2010-10-29 23:30:15,121.73,24.23,4.4,13.7,4,花蓮秀林地震站東北方  20.9  公里(花蓮秀林地震站東北方  20.9  公里)
125   ,2010-10-29 23:27:41,121.73,24.23,4.4,16.1,5,花蓮秀林地震站東北方  20.9  公里(花蓮秀林地震站東北方  20.9  公里)
124   ,2010-10-29 23:26:29,121.73,24.23,3.5,13.6,3,花蓮秀林地震站東北方  20.7  公里(花蓮秀林地震站東北方  20.7  公里)
小區域有感地震,2010-10-29 22:56:37,121.72,24.23,3.7,13,3,花蓮秀林地震站東北方  20.5  公里(花蓮秀林地震站東北方  20.5  公里)
123   ,2010-10-29 22:34:27,121.72,24.23,3.3,12.6,3,花蓮秀林地震站東北方  20.4  公里(花蓮秀林地震站東北方  20.4  公里)
小區域有感地震,2010-10-28 11:06:42,121.77,24.37,3,16.2,3,宜蘭南澳地震站南偏東方  6.7  公里(宜蘭南澳地震站南偏東方  6.7  公里)
小區域有感地震,2010-10-27 20:06:50,121.88,24.57,2.7,8.8,2,宜蘭蘇澳地震站南偏東方  4.4  公里(宜蘭蘇澳地震站南偏東方  4.4  公里)
小區域有感地震,2010-10-27 17:06:40,121.95,24.63,3.8,64.8,2,宜蘭蘇澳地震站東偏北方  10.0  公里(宜蘭蘇澳地震站東偏北方  10.0  公里)
小區域有感地震,2010-10-25 22:09:04,121.63,23.79,3.8,40.5,1,花蓮西林地震站東方  19.6  公里(花蓮西林地震站東方  19.6  公里)
小區域有感地震,2010-10-25 15:12:44,120.42,23.2,3.3,10.8,2,台南東山地震站西南方  10.9  公里(台南東山地震站西南方  10.9  公里)
小區域有感地震,2010-10-25 10:27:51,120.43,23.48,2.2,5.6,1,嘉義市地震站南方  2.2  公里(嘉義市地震站南方  2.2  公里)
小區域有感地震,2010-10-24 22:10:22,121.44,23.17,3.2,26.1,2,台東成功地震站東北方  10.6  公里(台東成功地震站東北方  10.6  公里)
小區域有感地震,2010-10-24 16:15:33,120.66,23.99,2.8,23.9,2,南投名間地震站北偏西方  13.4  公里(南投名間地震站北偏西方  13.4  公里)
小區域有感地震,2010-10-24 10:28:18,121.88,24.4,2.5,16.7,3,宜蘭南澳地震站東方  13.4  公里(宜蘭南澳地震站東方  13.4  公里)
小區域有感地震,2010-10-24 03:52:56,121.73,24.24,3.3,12.4,3,宜蘭南澳地震站南方  20.7  公里(宜蘭南澳地震站南方  20.7  公里)
小區域有感地震,2010-10-23 13:53:37,121.77,24.36,2.8,15.3,2,宜蘭南澳地震站南偏東方  7.7  公里(宜蘭南澳地震站南偏東方  7.7  公里)
小區域有感地震,2010-10-22 21:34:01,121.53,23.66,3.7,38.2,2,花蓮西林地震站南偏東方  19.5  公里(花蓮西林地震站南偏東方  19.5  公里)
小區域有感地震,2010-10-22 15:39:14,121.31,22.57,4,21,3,台東市地震站東南方  25.6  公里(台東市地震站東南方  25.6  公里)
122   ,2010-10-22 13:21:41,121.47,23.97,3.2,20.1,3,花蓮市地震站西方  14.3  公里(花蓮市地震站西方  14.3  公里)
小區域有感地震,2010-10-22 10:27:10,121.51,24.05,3.1,38.5,1,花蓮秀林地震站西偏南  10.1  公里(花蓮秀林地震站西偏南  10.1  公里)
小區域有感地震,2010-10-22 06:38:40,120.84,22.38,2.7,6.6,3,台東大武地震站西偏北方  6.8  公里(台東大武地震站西偏北方  6.8  公里)
小區域有感地震,2010-10-22 02:55:55,121.66,24.11,3,12.1,2,花蓮秀林地震站東偏北方  6.9  公里(花蓮秀林地震站東偏北方  6.9  公里)
小區域有感地震,2010-10-22 02:10:50,120.58,23.44,3.3,8.1,1,嘉義市地震站東偏南方  16.6  公里(嘉義市地震站東偏南方  16.6  公里)
小區域有感地震,2010-10-22 00:21:44,121.56,23.65,3.8,28.1,2,花蓮西林地震站東南方  22.0  公里(花蓮西林地震站東南方  22.0  公里)
小區域有感地震,2010-10-21 18:18:28,121.84,24.56,3,6.2,3,宜蘭蘇澳地震站南偏西方  5.3  公里(宜蘭蘇澳地震站南偏西方  5.3  公里)
小區域有感地震,2010-10-21 01:54:00,121.67,24.47,3.6,26.7,3,宜蘭南澳地震站西偏北方  9.4  公里(宜蘭南澳地震站西偏北方  9.4  公里)
121   ,2010-10-20 06:32:15,121.06,23.24,4.3,4.1,4,台東利稻地震站北偏東方  7.1  公里(台東利稻地震站北偏東方  7.1  公里)
小區域有感地震,2010-10-20 01:20:15,120.87,24.78,3.6,5.5,1,新竹竹北地震站西偏南  15.8  公里(新竹竹北地震站西偏南  15.8  公里)
120   ,2010-10-19 15:19:11,121.02,22.62,4.1,7.7,4,台東市地震站西南方  20.0  公里(台東市地震站西南方  20.0  公里)
小區域有感地震,2010-10-17 22:49:11,121.77,24.33,2.5,6.4,2,宜蘭南澳地震站南偏東方  10.5  公里(宜蘭南澳地震站南偏東方  10.5  公里)
小區域有感地震,2010-10-17 21:36:04,121.49,23.96,2.6,16.9,2,花蓮市地震站西方  13.1  公里(花蓮市地震站西方  13.1  公里)
小區域有感地震,2010-10-17 10:00:55,121.78,24.38,2.5,17.5,2,宜蘭南澳地震站南偏東方  6.0  公里(宜蘭南澳地震站南偏東方  6.0  公里)
119   ,2010-10-16 14:45:59,120.4,23.13,3.3,16.9,3,台南東山地震站西南方  18.2  公里(台南東山地震站西南方  18.2  公里)
小區域有感地震,2010-10-16 14:03:02,121.85,24.53,3.3,27.1,3,宜蘭蘇澳地震站南方  9.0  公里(宜蘭蘇澳地震站南方  9.0  公里)
小區域有感地震,2010-10-16 12:30:44,121.86,24.53,3.5,27.6,2,宜蘭蘇澳地震站南方  8.2  公里(宜蘭蘇澳地震站南方  8.2  公里)
小區域有感地震,2010-10-15 04:20:33,121.9,24.45,3.7,23.4,3,宜蘭南澳地震站東方  15.5  公里(宜蘭南澳地震站東方  15.5  公里)
小區域有感地震,2010-10-14 22:39:33,121.68,24.13,3,11.9,2,花蓮秀林地震站東偏北方  9.4  公里(花蓮秀林地震站東偏北方  9.4  公里)
小區域有感地震,2010-10-14 14:06:13,121.05,21.64,4.5,33.6,2,屏東恆春地震站東南方  50.9  公里(屏東恆春地震站東南方  50.9  公里)
118   ,2010-10-14 14:00:32,121.69,24.15,3.5,9.5,4,花蓮秀林地震站東北方  11.1  公里(花蓮秀林地震站東北方  11.1  公里)
小區域有感地震,2010-10-14 12:05:09,121.68,24.13,2.9,10.9,3,花蓮秀林地震站東偏北方  9.5  公里(花蓮秀林地震站東偏北方  9.5  公里)
