編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2001-12-29 20:11:14,121.88,24.46,3.6,18,3,宜蘭南澳地震站東偏北方  14.4  公里(宜蘭南澳地震站東偏北方  14.4  公里)
136   ,2001-12-28 18:40:48,121.2,24.23,4.5,7.8,5,台中德基地震站東偏南方  4.0  公里(台中德基地震站東偏南方  4.0  公里)
135   ,2001-12-28 08:41:39,122.9,23.99,5.5,9.5,3,宜蘭蘇澳地震站東偏南方  125.9  公里(宜蘭蘇澳地震站東偏南方  125.9  公里)
134   ,2001-12-27 16:34:51,121.1,22.72,4.8,12.9,5,台東市地震站西偏南  7.2  公里(台東市地震站西偏南  7.2  公里)
小區域有感地震,2001-12-26 19:11:51,121.92,25.02,4.3,121.2,2,基隆市地震站東南方  21.3  公里(基隆市地震站東南方  21.3  公里)
133   ,2001-12-23 05:40:25,122.91,24.12,5.4,8.7,2,宜蘭蘇澳地震站東偏南方  119.7  公里(宜蘭蘇澳地震站東偏南方  119.7  公里)
小區域有感地震,2001-12-21 14:39:26,121.81,24.85,3.9,84.1,1,宜蘭市地震站北偏東方  10.9  公里(宜蘭市地震站北偏東方  10.9  公里)
小區域有感地震,2001-12-21 07:29:14,122.92,23.98,4.6,10.7,1,宜蘭蘇澳地震站東偏南方  128.6  公里(宜蘭蘇澳地震站東偏南方  128.6  公里)
小區域有感地震,2001-12-20 16:15:07,122.35,23.97,4.6,19.2,2,花蓮市地震站東方  75.1  公里(花蓮市地震站東方  75.1  公里)
小區域有感地震,2001-12-20 14:58:58,122.34,23.97,4.3,19.4,2,花蓮市地震站東方  73.7  公里(花蓮市地震站東方  73.7  公里)
132   ,2001-12-18 12:03:00,122.65,23.87,6.7,12,4,花蓮市地震站東方  106.4  公里(花蓮市地震站東方  106.4  公里)
131   ,2001-12-16 09:04:55,122.38,24.52,5.1,68.7,3,宜蘭蘇澳地震站東方  54.0  公里(宜蘭蘇澳地震站東方  54.0  公里)
小區域有感地震,2001-12-15 00:26:31,121.51,24.09,3.7,20.2,3,花蓮秀林地震站西方  10.0  公里(花蓮秀林地震站西方  10.0  公里)
小區域有感地震,2001-12-14 13:28:03,121.61,23.96,3.5,42.7,1,花蓮市地震站南偏西方  1.6  公里(花蓮市地震站南偏西方  1.6  公里)
小區域有感地震,2001-12-12 10:36:00,121.98,24.82,4,5.1,3,宜蘭市地震站東偏北方  23.0  公里(宜蘭市地震站東偏北方  23.0  公里)
