編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2019-12-31 21:09:29,121.18,23.12,3.5,11.3,3,臺東縣政府北方  40.2  公里 (位於臺東縣池上鄉)(臺東縣池上鄉)
小區域有感地震,2019-12-30 15:31:57,121.76,24.39,3.1,8.4,4,宜蘭縣政府南方  38.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-30 13:11:46,122.14,24.29,4.1,40.4,2,宜蘭縣政府東南方  62.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-30 13:10:10,122.1,24.31,3.9,39.1,2,宜蘭縣政府東南方  57.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-30 06:50:55,121.64,24.28,3.4,53.6,2,花蓮縣政府北方  32.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-12-26 12:53:50,120.34,23,3.1,22.7,2,臺南市政府東方  16.4  公里 (位於臺南市新化區)(臺南市新化區)
小區域有感地震,2019-12-23 03:03:03,121.96,24.19,4.1,27.3,2,花蓮縣政府東偏北方  40.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-21 22:09:55,121.39,23.01,4.3,39.6,3,臺東縣政府東北方  37.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-12-18 10:52:22,121.87,24.26,4,24.6,3,花蓮縣政府東北方  39.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-17 21:02:02,120.2,22.9,2.7,14.1,1,高雄市政府北偏西方  32.4  公里 (位於高雄市湖內區)(高雄市湖內區)
066   ,2019-12-17 07:41:52,121.52,24.04,4.1,18.1,5,花蓮縣政府西偏北方  11.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
065   ,2019-12-16 19:25:57,121.76,24.54,5.2,49.7,4,宜蘭縣政府南方  21.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-15 17:03:46,120.48,23.49,2.2,7.7,3,嘉義市政府東偏北方  2.7  公里 (位於嘉義市東區)(嘉義市東區)
小區域有感地震,2019-12-15 04:13:02,121.67,24.01,3.3,40.9,2,花蓮縣政府東偏北方  5.5  公里 (位於花蓮縣近海)(花蓮縣近海)
064   ,2019-12-11 22:02:05,121.89,24.79,4.1,10.5,4,宜蘭縣政府東偏北方  14.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-12-11 21:23:58,121.89,24.79,3.9,10.3,3,宜蘭縣政府東偏北方  14.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
063   ,2019-12-10 12:13:55,121.5,24.05,4.1,21.8,4,花蓮縣政府西偏北方  13.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-12-09 22:38:04,121.4,23.2,3.8,23.9,3,臺東縣政府北偏東方  55.9  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-12-07 13:21:02,121.61,24.17,2.9,19.8,3,花蓮縣政府北方  19.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
062   ,2019-12-07 03:32:33,122.68,24.56,5,100.4,3,宜蘭縣政府東方  94.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-06 10:35:09,121.78,24.01,3.6,6.2,2,花蓮縣政府東方  16.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-12-05 14:46:30,120.41,22.73,3.6,24.3,2,高雄市政府東北方  15.2  公里 (位於高雄市大樹區)(高雄市大樹區)
小區域有感地震,2019-12-02 14:49:41,121.63,24.49,3.6,45.1,2,宜蘭縣政府南偏西方  29.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-12-02 01:34:40,121.96,24.39,4.2,26.9,2,宜蘭縣政府南偏東方  43.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-11-28 18:46:43,120.58,23.18,3.2,8.1,2,臺南市政府東偏北方  46.0  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2019-11-27 02:07:17,121.57,25.13,2.5,7.6,1,臺北市政府北方  10.2  公里 (位於臺北市士林區)(臺北市士林區)
061   ,2019-11-25 09:32:42,121.75,24.03,4.6,5.1,3,花蓮縣政府東偏北方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-11-23 18:56:32,120.17,22.97,3,18,2,臺南市政府西南方  2.7  公里 (位於臺南市南區)(臺南市南區)
小區域有感地震,2019-11-19 17:15:39,121.05,22.78,3.7,4.9,4,臺東縣政府西偏北方  11.3  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2019-11-18 02:56:56,121.7,24.53,4.2,59.8,2,宜蘭縣政府南偏西方  23.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-11-12 02:11:33,121.92,24.88,4.5,109,2,宜蘭縣政府東北方  22.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-11-12 00:54:57,121.66,21.05,5,114.6,1,臺東縣政府南偏東方  195.7  公里(臺東縣政府南偏東方  195.7  公里)
小區域有感地震,2019-11-11 00:01:27,121.36,23.19,3.1,17,2,臺東縣政府北偏東方  53.1  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2019-11-10 08:13:21,121.92,23.94,4.4,37.9,2,花蓮縣政府東方  31.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-11-09 07:47:05,121.83,24.81,3.7,83.3,1,宜蘭縣政府東北方  11.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-11-08 15:29:01,121.89,24.54,4.1,38.1,3,宜蘭縣政府東南方  24.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-11-07 16:56:07,120.84,24.16,3,31.4,1,臺中市政府東方  16.6  公里 (位於臺中市新社區)(臺中市新社區)
小區域有感地震,2019-11-07 03:08:33,121.52,24.57,3.1,10,2,宜蘭縣政府西南方  30.0  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2019-11-07 03:08:24,121.52,24.56,3.1,10.1,2,宜蘭縣政府西南方  31.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2019-11-05 10:08:13,121.82,24.45,2.9,16.9,3,宜蘭縣政府南方  31.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-11-05 08:50:19,121.82,24.45,3.6,17.2,5,宜蘭縣政府南偏東方  31.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-11-05 03:23:03,120.82,24.16,3.4,27.5,2,臺中市政府東方  14.2  公里 (位於臺中市新社區)(臺中市新社區)
小區域有感地震,2019-11-04 11:32:17,121.51,24.02,3.9,16.4,4,花蓮縣政府西偏北方  11.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-11-03 10:02:18,121.57,24.23,3.8,43.9,2,花蓮縣政府北偏西方  27.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-11-03 03:26:34,121.91,24.41,4.4,26.9,3,宜蘭縣政府南偏東方  38.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-11-03 00:28:08,121.71,24.68,3.5,48.6,2,宜蘭縣政府西南方  8.0  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉)
小區域有感地震,2019-11-01 21:28:39,121.33,22.6,4,36,1,臺東縣政府東南方  25.2  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2019-10-31 01:58:25,121.52,22.75,3.9,19.2,3,臺東縣政府東方  37.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2019-10-30 12:10:34,121.54,24.47,3.2,6.2,3,宜蘭縣政府西南方  37.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-10-29 15:57:06,121.59,24.14,3.2,19.4,3,花蓮縣政府北偏西方  16.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-10-28 11:24:31,121.72,24.17,3.5,9.6,3,花蓮縣政府北偏東方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-28 10:21:58,121.72,24.17,3.2,9.8,3,花蓮縣政府北偏東方  22.3  公里 (位於花蓮縣近海)(花蓮縣近海)
060   ,2019-10-28 07:28:03,121.89,24.48,4.5,26.7,4,宜蘭縣政府南偏東方  31.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-10-27 15:39:00,121.7,24.11,3.2,7.9,3,花蓮縣政府北偏東方  15.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-27 12:53:46,121.5,24.02,3.9,34.2,3,花蓮縣政府西偏北方  12.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-10-26 01:54:17,121.73,24.17,3.4,9.8,3,花蓮縣政府北偏東方  23.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-26 01:41:50,121.73,24.17,3.8,9.3,3,花蓮縣政府北偏東方  23.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-25 02:39:36,122.2,24.85,3.9,12.9,2,宜蘭縣政府東偏北方  46.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-23 12:28:39,121.63,23.8,3.4,44.2,1,花蓮縣政府南方  20.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-23 12:21:19,120.33,23.33,3.2,9.9,2,臺南市政府北偏東方  40.3  公里 (位於臺南市後壁區)(臺南市後壁區)
小區域有感地震,2019-10-22 07:06:02,121.64,24.33,3.5,23.6,4,花蓮縣政府北方  38.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-10-22 06:18:10,121.63,24.33,3.5,23,3,花蓮縣政府北方  37.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-10-19 09:29:11,120.55,23.05,3.9,10.2,3,高雄市政府北偏東方  53.8  公里 (位於高雄市杉林區)(高雄市杉林區)
059   ,2019-10-17 19:44:33,122.5,24.03,5.6,29.6,3,花蓮縣政府東方  89.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-17 15:31:57,121.83,24.43,3.9,45.3,2,宜蘭縣政府南偏東方  34.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-10-17 14:29:46,120.72,22.26,3.6,34.6,2,屏東縣政府南偏東方  52.3  公里 (位於屏東縣獅子鄉)(屏東縣獅子鄉)
小區域有感地震,2019-10-16 04:30:44,121.32,23.2,3.7,37.5,1,花蓮縣政府南偏西方  92.5  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
小區域有感地震,2019-10-15 23:50:35,120.73,23.44,3.6,4.2,3,嘉義縣政府東方  44.3  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2019-10-13 13:20:50,122.01,24.8,3.9,86.6,2,宜蘭縣政府東偏北方  25.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-08 19:50:25,121.5,24.06,3.8,23.9,4,花蓮縣政府西偏北方  14.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-10-08 01:17:06,122.36,24.66,5,14.7,3,宜蘭縣政府東方  60.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-08 01:15:38,120.95,24.45,3.5,4.5,2,苗栗縣政府東南方  18.1  公里 (位於苗栗縣泰安鄉)(苗栗縣泰安鄉)
小區域有感地震,2019-10-07 05:08:34,122.07,23.7,4.1,28.5,1,花蓮縣政府東偏南方  56.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-07 04:56:54,121.65,23.93,3.6,41.7,1,花蓮縣政府南偏東方  7.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-10-05 22:34:23,121.71,24.33,4.2,32.9,3,宜蘭縣政府南方  44.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2019-10-04 14:10:46,121.84,24.17,3.6,27,2,花蓮縣政府東北方  30.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-10-03 15:36:45,121.12,23.05,3.8,5.9,3,臺東縣政府北方  32.5  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2019-10-01 13:27:42,121.11,23.04,3.3,3.6,2,臺東縣政府北方  32.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2019-10-01 13:27:36,121.1,23.04,3.3,10,1,臺東縣政府北方  31.5  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2019-10-01 10:17:48,121.03,22.58,4.4,7.2,4,臺東縣政府西南方  23.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-10-01 02:42:54,120.6,22.91,4.3,15.6,3,高雄市政府東北方  43.0  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2019-10-01 01:54:54,121.82,24.29,3.9,13.6,4,花蓮縣政府東北方  39.5  公里 (位於花蓮縣近海)(花蓮縣近海)
058   ,2019-10-01 01:12:58,120.59,22.91,4.5,14.9,4,高雄市政府東北方  43.2  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2019-09-30 18:38:02,120.59,22.9,4.1,16.2,3,高雄市政府東北方  42.6  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2019-09-27 14:21:40,121.48,23.76,3.4,41.4,2,花蓮縣政府南偏西方  29.7  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2019-09-26 09:16:54,121.89,24.3,3.2,24.9,2,花蓮縣政府東北方  43.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-09-25 17:51:13,121.87,24.31,3.6,24.8,3,花蓮縣政府東北方  43.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-09-25 03:11:30,121.48,23.96,2.9,19.8,3,花蓮縣政府西偏南方  14.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-09-24 19:25:49,120.72,23.33,3.3,11.9,2,嘉義縣政府東偏南方  46.3  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
