編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2016-12-31 16:50:32,121.54,23.03,3.2,22.3,2,臺東縣政府東北方  49.8  公里 (位於臺灣東部海域)(臺灣東部海域)
112   ,2016-12-30 08:30:51,122.08,24.81,5.2,75.2,3,宜蘭縣政府東偏北方  33.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-29 15:55:57,121.33,23.18,3.8,11.6,3,臺東縣政府北偏東方  50.6  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2016-12-29 00:31:36,120.77,23.12,3.6,6.2,4,嘉義市政府東南方  51.3  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2016-12-29 00:09:38,120.77,23.13,3.6,6.5,4,嘉義市政府東南方  50.7  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2016-12-26 13:35:15,120.87,24.73,3.4,9.5,3,新竹市政府西南方  13.2  公里 (位於苗栗縣竹南鎮)(苗栗縣竹南鎮)
111   ,2016-12-25 04:42:48,121.72,24.04,4.2,31.8,3,花蓮縣政府東偏北方  11.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-22 23:41:07,122.88,24.9,3.9,145.4,1,宜蘭縣政府東方  114.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-22 00:07:20,121.42,23.83,3.1,23.6,2,花蓮縣政府西南方  27.3  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2016-12-20 07:14:19,122.32,24.04,4.4,29.7,1,花蓮縣政府東方  71.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-20 05:22:56,121.48,23.78,3,10.4,3,花蓮縣政府西南方  27.6  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2016-12-20 05:19:00,121.47,23.78,3.4,10.9,4,花蓮縣政府西南方  28.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2016-12-18 03:55:59,121.78,24.41,2.8,7.1,4,宜蘭縣政府南方  35.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2016-12-18 03:18:50,121.79,24.4,2.6,5.7,4,宜蘭縣政府南方  36.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2016-12-18 03:18:44,121.76,24.41,2.6,7,4,宜蘭縣政府南方  35.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2016-12-17 13:42:45,121,21.8,3.9,25.7,3,臺東縣政府南方  106.8  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2016-12-16 12:28:21,121.27,22.85,3.7,12,2,臺東縣政府東北方  15.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-12-16 09:04:45,121.25,22.83,3.1,12.9,2,臺東縣政府東北方  13.2  公里 (位於臺東縣近海)(臺東縣近海)
110   ,2016-12-16 04:05:01,121.29,22.85,4.2,11.7,3,臺東縣政府東偏北方  17.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-16 00:09:10,121.26,22.85,4.2,11.5,3,臺東縣政府東北方  15.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-12-15 22:15:11,121.26,22.84,4.3,11.7,2,臺東縣政府東北方  14.6  公里 (位於臺東縣近海)(臺東縣近海)
109   ,2016-12-15 22:14:29,121.27,22.85,5.2,11.4,4,臺東縣政府東北方  15.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-12-15 22:11:38,121.26,22.85,4.3,11.1,3,臺東縣政府東北方  14.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2016-12-13 17:00:07,121.93,24.42,3.2,18.3,3,宜蘭縣政府南偏東方  38.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-13 02:43:36,121.71,24.11,3.3,10,3,花蓮縣政府東北方  16.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2016-12-13 02:40:05,121.7,24.11,3.6,10.9,3,花蓮縣政府東北方  15.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2016-12-12 22:11:31,121.32,22.64,3.4,20.2,1,臺東縣政府東偏南方  21.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2016-12-12 04:16:05,121.01,21.5,4.3,27.4,2,臺東縣政府南方  140.2  公里 (位於臺灣南部海域)(臺灣南部海域)
