編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2026-03-31 23:43:41,121.923,23.9457,4.4,24.6,3,花蓮縣政府東方  31.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-03-31 08:35:11,121.392,23.209,3.7,21.9,2,臺東縣政府北北東方  56.0  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2026-03-30 02:26:05,121.166,23.1058,3.4,13.6,2,臺東縣政府北方  38.9  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2026-03-29 17:26:20,121.724,22.6872,4.3,26.5,2,臺東縣政府東方  59.3  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2026-03-29 12:36:25,120.729,23.3398,4.1,10,2,嘉義縣政府東南東方  46.5  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
029   ,2026-03-29 11:12:20,120.587,22.4577,4.8,23.7,3,屏東縣政府南南東方  27.0  公里 (位於屏東縣新埤鄉)(屏東縣新埤鄉)
小區域有感地震,2026-03-28 13:22:10,121.939,24.0917,4,31,1,花蓮縣政府東北東方  34.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-03-26 22:24:12,121.593,23.8322,3.9,28.2,1,花蓮縣政府南方  17.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-03-26 16:43:44,121.516,23.2052,4.5,37.8,2,臺東縣政府東北方  62.3  公里 (位於臺灣東部海域)(臺灣東部海域)
028   ,2026-03-26 12:23:10,121.561,23.208,4.8,39.2,4,臺東縣政府東北方  65.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-03-21 18:22:02,121.74,24.6863,3.7,9.9,3,宜蘭縣政府南南西方  5.5  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉)
027   ,2026-03-20 21:34:11,121.608,23.8503,4.7,36.5,3,花蓮縣政府南方  15.6  公里 (位於花蓮縣近海)(花蓮縣近海)
026   ,2026-03-20 21:32:42,121.611,23.8347,5.2,36.5,3,花蓮縣政府南方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
025   ,2026-03-20 10:18:33,121.318,23.556,4.7,15.1,4,花蓮縣政府西南方  57.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2026-03-16 18:03:35,120.49,23.2493,3.8,8.1,3,臺南市政府東北方  42.2  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2026-03-16 13:12:55,120.618,23.7915,3.5,19.8,2,雲林縣政府東北方  13.9  公里 (位於雲林縣林內鄉)(雲林縣林內鄉)
024   ,2026-03-16 07:19:51,120.508,23.2227,4.4,7,4,臺南市政府東北方  41.8  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2026-03-16 07:15:43,120.491,23.217,3.3,7.9,3,臺南市政府東北方  40.0  公里 (位於臺南市楠西區)(臺南市楠西區)
023   ,2026-03-15 16:14:56,121.999,24.3528,5.5,29.6,4,宜蘭縣政府南南東方  48.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-03-15 15:58:02,120.49,23.218,3.4,7.6,2,臺南市政府東北方  40.0  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2026-03-15 15:27:10,120.505,23.1953,3.5,8.2,3,臺南市政府東北東方  39.8  公里 (位於臺南市楠西區)(臺南市楠西區)
022   ,2026-03-15 02:58:49,121.799,24.3803,4.2,12.1,4,宜蘭縣政府南方  39.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-03-14 13:03:29,121.088,22.8018,3.6,6.7,2,臺東縣政府西北方  8.3  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2026-03-14 08:01:28,121.466,23.9192,3.1,16,1,花蓮縣政府西南西方  17.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-03-12 23:46:51,121.539,23.7743,4.3,19.9,2,花蓮縣政府南南西方  25.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
021   ,2026-03-12 20:14:13,121.551,23.7757,5.7,23.4,4,花蓮縣政府南南西方  24.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2026-03-11 14:32:05,121.662,23.9533,4,38.8,1,花蓮縣政府東南方  5.9  公里 (位於花蓮縣近海)(花蓮縣近海)
020   ,2026-03-06 23:14:24,120.645,24.156,4.5,28,4,臺中市政府南南西方  .7  公里 (位於臺中市西屯區)(臺中市西屯區)
小區域有感地震,2026-03-06 22:16:17,120.644,24.157,3.1,27.6,1,臺中市政府西南方  .7  公里 (位於臺中市西屯區)(臺中市西屯區)
小區域有感地震,2026-03-06 07:32:00,121.865,24.4162,3.3,11.7,3,宜蘭縣政府南南東方  36.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
019   ,2026-03-05 06:02:06,121.515,24.0735,4.1,20.1,4,花蓮縣政府西北方  14.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-03-04 05:53:14,120.48,23.2183,3.5,9.1,2,臺南市政府東北方  39.3  公里 (位於臺南市楠西區)(臺南市楠西區)
018   ,2026-03-03 23:34:29,120.487,23.2177,4.6,11.2,4,臺南市政府東北方  39.8  公里 (位於臺南市楠西區)(臺南市楠西區)
017   ,2026-03-03 19:52:48,120.472,23.2078,5,9.2,4,臺南市政府東北方  37.9  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2026-03-02 00:07:37,121.976,24.8465,4.1,8.8,2,宜蘭縣政府東北東方  25.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-03-01 19:38:24,121.799,24.3907,3.3,11.7,3,宜蘭縣政府南方  37.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-03-01 14:21:03,121.478,23.9227,3.4,28.5,1,花蓮縣政府西南西方  16.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
