編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-12-30 19:29:57,121.741,24.2567,3.9,50.5,2,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-30 15:39:46,121.722,23.8278,3.9,22.1,2,花蓮縣政府南南東方  20.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-12-29 16:50:10,120.737,23.2772,3.4,13.9,2,高雄市政府北北東方  84.7  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2025-12-29 07:03:55,121.065,22.743,3.6,5.7,2,臺東縣政府西方  8.9  公里 (位於臺東縣臺東市)(臺東縣臺東市)
小區域有感地震,2025-12-29 05:27:15,121.067,22.8865,3.8,9.1,3,臺東縣政府北北西方  16.9  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2025-12-29 04:23:04,121.058,22.7443,3.4,5.8,3,臺東縣政府西方  9.6  公里 (位於臺東縣臺東市)(臺東縣臺東市)
小區域有感地震,2025-12-28 21:57:28,122.006,24.7313,4.1,65.8,1,宜蘭縣政府東方  24.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-12-28 10:55:53,121.991,24.6322,4,65.3,1,宜蘭縣政府東南東方  25.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-12-28 07:03:25,121.168,22.6823,4.2,29,2,臺東縣政府南南東方  8.2  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2025-12-28 05:45:29,121.059,22.7382,3.3,5.8,2,臺東縣政府西方  9.6  公里 (位於臺東縣臺東市)(臺東縣臺東市)
小區域有感地震,2025-12-28 00:45:43,122.013,24.6178,4.7,60.7,3,宜蘭縣政府東南東方  28.2  公里 (位於臺灣東部海域)(臺灣東部海域)
156   ,2025-12-27 23:05:56,122.004,24.6622,7,67.7,4,宜蘭縣政府東南東方  25.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-12-27 21:07:36,121.074,22.9082,3.6,11.5,2,臺東縣政府北北西方  18.7  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2025-12-25 23:54:25,121.104,22.9125,3.4,6.9,4,臺東縣政府北北西方  18.1  公里 (位於臺東縣鹿野鄉)(臺東縣鹿野鄉)
小區域有感地震,2025-12-25 10:44:40,121.077,22.9107,4.1,11.5,3,臺東縣政府北北西方  18.8  公里 (位於臺東縣鹿野鄉)(臺東縣鹿野鄉)
小區域有感地震,2025-12-25 09:21:32,121.076,22.8595,3.8,8.8,4,臺東縣政府西北方  13.9  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-12-25 08:35:36,122.11,24.4483,4.2,61.5,2,宜蘭縣政府東南方  47.0  公里 (位於臺灣東部海域)(臺灣東部海域)
155   ,2025-12-25 04:40:30,121.072,22.8825,4.2,9,4,臺東縣政府北北西方  16.3  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
154   ,2025-12-25 03:41:12,121.065,22.9017,4.6,7.8,4,臺東縣政府北北西方  18.5  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2025-12-24 19:07:03,121.065,22.7833,3.1,6.3,2,臺東縣政府西北西方  9.4  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-12-24 18:48:41,121.044,22.7845,3.7,5.6,2,臺東縣政府西北西方  11.4  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-12-24 18:39:27,121.043,22.7902,3.6,5.5,3,臺東縣政府西北西方  11.8  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
153   ,2025-12-24 17:47:06,121.072,22.8855,6,9.2,5弱,臺東縣政府北北西方  16.6  公里 (位於臺東縣延平鄉)(臺東縣延平鄉)
小區域有感地震,2025-12-24 03:57:25,121.545,24.5692,4,61.5,1,宜蘭縣政府西南方  28.4  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
152   ,2025-12-23 15:46:09,121.619,23.7938,4.9,38,3,花蓮縣政府南方  21.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-22 05:02:41,120.108,23.128,3.6,9.7,3,臺南市政府北北西方  17.0  公里 (位於臺南市七股區)(臺南市七股區)
小區域有感地震,2025-12-21 04:42:17,121.649,23.8768,3.5,30.3,2,花蓮縣政府南南東方  13.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-19 23:59:49,121.484,23.4097,3.8,33.6,2,臺東縣政府北北東方  80.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-12-19 13:07:31,121.681,24.1318,3.8,19.4,2,花蓮縣政府北北東方  16.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-19 09:50:31,121.051,24.6582,3.1,21.7,1,新竹縣政府南南東方  19.1  公里 (位於新竹縣北埔鄉)(新竹縣北埔鄉)
151   ,2025-12-18 19:32:50,121.723,24.1158,5.1,31,4,花蓮縣政府東北方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-18 11:52:13,120.681,23.2668,3.4,4.4,2,高雄市政府北北東方  80.9  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2025-12-16 19:51:28,121.915,24.7857,4.1,85,1,宜蘭縣政府東北東方  16.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2025-12-16 11:39:10,121.538,23.4928,4.1,35,2,花蓮縣政府南方  55.8  公里 (位於花蓮縣近海)(花蓮縣近海)
150   ,2025-12-14 01:58:35,121.884,24.2012,4.6,26.1,3,花蓮縣政府東北方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-12-13 08:19:10,121.667,24.111,3.7,32.7,2,花蓮縣政府北北東方  14.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-12-13 05:13:00,121.408,23.7765,3.5,21.1,2,花蓮縣政府西南方  32.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2025-12-13 05:01:59,120.67,23.1838,3.6,8.8,2,高雄市政府北北東方  72.4  公里 (位於高雄市甲仙區)(高雄市甲仙區)
149   ,2025-12-12 04:24:28,120.469,23.1918,4,9.4,4,臺南市政府東北方  36.5  公里 (位於臺南市楠西區)(臺南市楠西區)
148   ,2025-12-11 23:19:40,120.665,23.1808,4.7,9,4,高雄市政府北北東方  71.8  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2025-12-11 22:59:41,120.667,23.1757,3.5,8.9,2,高雄市政府北北東方  71.4  公里 (位於高雄市甲仙區)(高雄市甲仙區)
147   ,2025-12-11 22:49:02,120.665,23.1802,4.7,9.3,4,高雄市政府北北東方  71.7  公里 (位於高雄市甲仙區)(高雄市甲仙區)
