編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2026-06-30 05:15:02,122.113,24.8045,5,94.1,2,宜蘭縣政府東北東方  36.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-06-29 09:20:57,121.526,24.1295,3.6,22.4,2,花蓮縣政府西北方  18.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-06-25 05:30:42,120.437,23.4253,3.1,7,2,嘉義縣政府東南東方  15.2  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
小區域有感地震,2026-06-21 10:37:30,120.434,23.4807,3.5,11.5,3,嘉義市政府西方  2.0  公里 (位於嘉義市西區)(嘉義市西區)
小區域有感地震,2026-06-19 19:33:11,121.837,24.4002,3.5,9.9,3,宜蘭縣政府南南東方  37.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-06-19 19:00:44,120.573,23.8737,3,21.3,2,彰化縣政府南方  22.6  公里 (位於彰化縣田中鎮)(彰化縣田中鎮)
小區域有感地震,2026-06-18 06:28:03,120.825,23.8558,3.1,7.4,1,南投縣政府東南東方  14.7  公里 (位於南投縣中寮鄉)(南投縣中寮鄉)
小區域有感地震,2026-06-14 11:15:04,121.639,24.5303,4.5,45.2,2,宜蘭縣政府南南西方  25.5  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2026-06-11 23:57:40,121.61,23.929,3.9,22.7,2,花蓮縣政府南方  6.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-06-08 23:04:52,121.471,23.9185,3.6,17.1,3,花蓮縣政府西南西方  17.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-06-08 16:22:41,121.813,24.4102,3.6,14.3,3,宜蘭縣政府南方  35.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-06-08 01:13:44,121.776,23.9403,4.2,24.2,3,花蓮縣政府東南東方  16.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-06-07 19:49:08,121.576,24.4537,3.2,8.4,2,宜蘭縣政府西南方  36.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2026-06-05 05:45:58,121.517,24.0202,3.8,16.5,2,花蓮縣政府西北西方  10.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-06-04 22:45:30,121.688,24.2088,3.9,29,2,花蓮縣政府北北東方  25.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-06-04 01:03:31,120.672,23.5885,3.1,8.4,2,雲林縣政府東南方  19.3  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2026-06-02 01:39:13,120.676,23.5575,3.5,7,2,嘉義縣政府東北東方  40.6  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
小區域有感地震,2026-06-02 01:39:00,120.686,23.5588,3.8,8.7,3,嘉義縣政府東北東方  41.7  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
