編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2026-05-31 01:56:54,121.924,24.4258,4.4,28.8,2,宜蘭縣政府南南東方  37.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-05-27 23:53:41,120.587,23.0305,3.4,10.5,3,高雄市政府東北方  53.4  公里 (位於高雄市杉林區)(高雄市杉林區)
小區域有感地震,2026-05-27 18:44:55,121.434,23.165,3.6,27.8,3,臺東縣政府東北方  53.9  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2026-05-24 20:06:36,120.399,23.4652,3.2,11.4,3,嘉義市政府西南西方  5.9  公里 (位於嘉義市西區)(嘉義市西區)
小區域有感地震,2026-05-23 21:07:27,121.463,23.9342,3.1,18.1,2,花蓮縣政府西南西方  17.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-05-23 10:33:00,121.061,22.7815,2.9,5.8,2,臺東縣政府西北西方  9.7  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2026-05-21 21:36:00,121.431,23.2822,3.9,26.5,3,臺東縣政府北北東方  65.1  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2026-05-21 01:21:00,120.583,23.1857,3.3,8.2,3,臺南市政府東北東方  46.1  公里 (位於臺南市南化區)(臺南市南化區)
047   ,2026-05-20 20:25:35,121.439,23.2737,4.9,27.8,4,臺東縣政府北北東方  64.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2026-05-20 09:14:55,121.428,23.2815,4.1,26.2,3,臺東縣政府北北東方  64.9  公里 (位於臺東縣近海)(臺東縣近海)
046   ,2026-05-20 09:11:58,121.432,23.2827,4.9,27.7,4,臺東縣政府北北東方  65.1  公里 (位於臺東縣近海)(臺東縣近海)
045   ,2026-05-17 08:46:14,121,24.0065,5.1,16.1,4,南投縣政府東北東方  33.6  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
