編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2026-01-31 23:55:20,120.112,23.1242,3.7,10.1,3,臺南市政府北北西方  16.4  公里 (位於臺南市七股區)(臺南市七股區)
小區域有感地震,2026-01-28 10:17:32,120.609,23.632,3,3.8,2,雲林縣政府東南方  11.2  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2026-01-27 09:04:57,122.179,24.6817,4.3,82.8,1,宜蘭縣政府東方  42.4  公里 (位於臺灣東部海域)(臺灣東部海域)
011   ,2026-01-27 02:48:38,120.766,21.7945,4.8,20.3,3,屏東縣政府南南東方  102.5  公里 (位於臺灣南部海域)(臺灣南部海域)
010   ,2026-01-24 22:26:24,121.797,24.3683,4.2,16.4,4,宜蘭縣政府南方  40.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-01-24 21:32:45,120.515,23.2665,3.7,8.3,3,嘉義縣政府東南方  31.1  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2026-01-24 12:02:46,121.049,22.7927,3.8,6.4,2,臺東縣政府西北西方  11.2  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
009   ,2026-01-23 13:41:10,121.787,24.3263,4.2,7.1,3,宜蘭縣政府南方  44.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-01-22 19:08:24,120.933,24.7312,2.4,6.5,1,新竹市政府南南西方  9.2  公里 (位於新竹市香山區)(新竹市香山區)
小區域有感地震,2026-01-21 19:47:16,121.836,24.7675,4.4,78.3,2,宜蘭縣政府東北東方  8.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-01-21 15:21:45,120.316,22.5572,3.4,22.4,1,高雄市政府南方  7.1  公里 (位於高雄市小港區)(高雄市小港區)
