編號,地震時間,經度,緯度,規模,深度,最大震度,位置
016   ,2026-02-28 23:49:50,121.805,24.3818,4.5,12,4,宜蘭縣政府南方  38.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-02-28 22:52:28,121.276,23.4075,3.4,10,2,花蓮縣政府南南西方  73.5  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2026-02-26 06:53:21,121.256,22.7495,4.2,30.5,2,臺東縣政府東方  10.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2026-02-26 02:53:50,120.248,23.7533,3.3,16.7,2,雲林縣政府西方  28.9  公里 (位於雲林縣麥寮鄉)(雲林縣麥寮鄉)
小區域有感地震,2026-02-25 22:17:03,120.509,23.0903,3.9,10.5,2,臺南市政府東北東方  34.9  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2026-02-25 01:48:49,120.513,23.0923,3.6,10.9,1,臺南市政府東北東方  35.4  公里 (位於臺南市南化區)(臺南市南化區)
015   ,2026-02-25 01:23:09,120.515,23.0903,4.5,11.2,3,臺南市政府東北東方  35.5  公里 (位於臺南市南化區)(臺南市南化區)
014   ,2026-02-24 12:37:15,121.905,24.6567,5.6,64,4,宜蘭縣政府東南東方  16.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-02-23 02:34:56,121.748,24.8227,4,78.4,2,宜蘭縣政府北方  10.3  公里 (位於宜蘭縣礁溪鄉)(宜蘭縣礁溪鄉)
小區域有感地震,2026-02-20 23:46:37,121.436,23.9423,3.9,17.2,3,花蓮縣政府西南西方  19.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-02-19 22:48:41,121.781,24.3855,3.8,22.7,2,宜蘭縣政府南方  38.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2026-02-19 22:09:32,121.695,23.8907,4,36.3,2,花蓮縣政府東南方  13.5  公里 (位於臺灣東部海域)(臺灣東部海域)
013   ,2026-02-17 05:44:10,121.349,23.1077,4.1,19.1,3,臺東縣政府北北東方  44.0  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2026-02-17 02:23:15,122.004,24.6197,4.8,63.3,2,宜蘭縣政府東南東方  27.3  公里 (位於臺灣東部海域)(臺灣東部海域)
012   ,2026-02-16 19:00:30,120.459,24.2795,4,23.2,3,臺中市政府西北西方  23.1  公里 (位於臺中市近海)(臺中市近海)
小區域有感地震,2026-02-16 10:50:09,121.787,24.3317,3.8,8.4,4,宜蘭縣政府南方  44.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2026-02-15 01:47:50,121.674,24.236,3.9,29.4,2,花蓮縣政府北北東方  27.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-02-14 21:32:11,121.721,23.8695,3.7,22,2,花蓮縣政府東南方  16.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2026-02-14 04:39:31,120.955,23.257,3.5,5,2,臺東縣政府北北西方  59.1  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2026-02-13 21:05:46,121.671,24.6512,4,45.1,3,宜蘭縣政府西南方  12.9  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉)
小區域有感地震,2026-02-13 03:28:10,120.953,23.2512,3.5,5.1,3,臺東縣政府北北西方  58.6  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2026-02-12 22:57:34,121.77,24.2255,3.7,10.8,3,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-02-11 01:43:21,121.307,22.935,3.3,9.9,4,臺東縣政府東北方  25.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2026-02-08 16:41:02,121.585,23.9387,3.9,50.4,1,花蓮縣政府西南方  6.8  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2026-02-08 08:44:23,120.632,23.7707,3.2,22.9,1,雲林縣政府東北方  13.4  公里 (位於雲林縣林內鄉)(雲林縣林內鄉)
小區域有感地震,2026-02-08 08:42:22,121.521,23.467,4,34.9,2,花蓮縣政府南方  58.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2026-02-05 20:34:08,120.546,23.2128,3.4,16.6,2,臺南市政府東北東方  44.3  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2026-02-03 09:42:10,121.604,24.3265,3.3,23.6,2,花蓮縣政府北方  37.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2026-02-02 07:54:14,121.35,23.1063,4,19.5,3,臺東縣政府北北東方  43.9  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
