編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-07-31 18:52:10,121.953,24.4128,4,58.1,2,宜蘭縣政府南南東方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-07-31 06:21:58,121.343,24.1273,3.5,4.5,3,花蓮縣政府西北西方  31.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-07-30 10:24:20,120.517,23.2577,3.7,8.7,3,臺南市政府東北方  45.0  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-07-30 05:12:03,121.079,22.806,3.9,7.2,3,臺東縣政府西北方  9.3  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-07-26 19:27:06,120.527,23.1558,3.5,16.7,2,臺南市政府東北東方  39.4  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-07-23 20:55:49,120.194,23.3552,3.5,10.1,3,嘉義縣政府西南方  15.3  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2025-07-21 18:30:01,121.686,24.2952,4.3,27.5,2,花蓮縣政府北北東方  34.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-07-21 12:44:52,121.667,24.1747,3.8,35.6,2,花蓮縣政府北北東方  20.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-07-20 13:42:18,121.476,23.957,3.4,17.4,2,花蓮縣政府西南西方  15.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-07-20 07:35:14,121.475,23.2087,3.7,31.3,2,臺東縣政府東北方  60.2  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-07-19 16:06:17,121.521,24.0493,3.8,18.9,3,花蓮縣政府西北西方  12.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-07-19 13:47:57,121.704,24.136,3.7,21.3,1,花蓮縣政府北北東方  18.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-07-17 09:05:58,121.898,24.4127,3.5,16.3,3,宜蘭縣政府南南東方  37.8  公里 (位於臺灣東部海域)(臺灣東部海域)
109   ,2025-07-16 00:18:09,121.453,23.9312,4.1,19.7,4,花蓮縣政府西南西方  18.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
108   ,2025-07-15 21:58:17,120.984,21.6963,5.1,38.5,3,臺東縣政府南方  118.5  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2025-07-13 04:31:36,120.952,23.252,3.4,3.8,2,臺東縣政府北北西方  58.7  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-07-12 13:38:55,121.054,22.2748,3.9,8.7,2,臺東縣政府南南西方  54.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
107   ,2025-07-12 01:35:52,121.474,23.9505,4,18.7,3,花蓮縣政府西南西方  15.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-07-09 18:46:24,121.57,23.4053,4.6,39.5,2,臺東縣政府北北東方  83.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-07-09 12:42:58,121.812,24.7542,3.2,9.7,2,宜蘭縣政府東北東方  5.6  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉)
小區域有感地震,2025-07-09 07:30:48,120.511,23.222,4,8.3,3,臺南市政府東北方  42.0  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-07-09 01:38:32,120.516,23.2278,3.9,7.5,4,臺南市政府東北方  42.8  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-07-09 01:10:36,121.049,22.2887,3.9,9.9,2,臺東縣政府南南西方  52.7  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2025-07-08 18:19:04,121.657,24.2302,3.8,31.5,3,花蓮縣政府北方  26.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
106   ,2025-07-08 03:57:06,121.475,23.9393,5,19.5,4,花蓮縣政府西南西方  15.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
