編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-08-31 22:51:29,121.749,23.9868,4,23.5,2,花蓮縣政府東方  13.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-08-29 10:05:46,121.266,22.866,4.1,18,2,臺東縣政府東北方  17.0  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-08-29 08:50:12,121.275,22.8622,4.1,18,3,臺東縣政府東北方  17.4  公里 (位於臺東縣近海)(臺東縣近海)
120   ,2025-08-28 21:22:38,121.838,24.2563,4.3,23.9,3,花蓮縣政府東北方  36.8  公里 (位於臺灣東部海域)(臺灣東部海域)
119   ,2025-08-27 21:11:00,121.898,24.8665,6,108.9,4,宜蘭縣政府東北方  20.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2025-08-26 19:15:54,121.639,23.9368,3.7,32.8,2,花蓮縣政府南南東方  6.3  公里 (位於花蓮縣近海)(花蓮縣近海)
118   ,2025-08-26 18:56:34,121.468,23.9375,3.9,18.6,4,花蓮縣政府西南西方  16.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-08-26 05:10:10,121.045,22.4365,3.9,11.3,2,臺東縣政府南南西方  36.9  公里 (位於臺灣東南部海域)(臺灣東南部海域)
117   ,2025-08-24 20:55:04,121.954,24.1473,4.8,30.2,3,花蓮縣政府東北東方  38.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-08-23 01:37:02,121.425,23.821,3.7,18.7,3,花蓮縣政府西南方  27.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2025-08-22 14:09:27,120.532,23.1583,3.6,16.7,2,臺南市政府東北東方  40.1  公里 (位於臺南市楠西區)(臺南市楠西區)
116   ,2025-08-22 14:06:15,120.529,23.1532,5.4,16.9,4,臺南市政府東北東方  39.5  公里 (位於臺南市楠西區)(臺南市楠西區)
115   ,2025-08-21 16:37:46,120.554,23.2565,5.1,15.4,4,嘉義縣政府東南方  34.8  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-08-21 08:00:21,120.681,23.1098,3.8,12.6,2,高雄市政府東北方  66.1  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2025-08-19 15:28:53,121.811,24.161,4,23.2,2,花蓮縣政府東北方  27.0  公里 (位於臺灣東部海域)(臺灣東部海域)
114   ,2025-08-19 09:26:08,121.717,23.9883,5,25.8,4,花蓮縣政府東方  9.8  公里 (位於臺灣東部海域)(臺灣東部海域)
113   ,2025-08-19 03:55:47,121.808,24.159,4.6,23.3,3,花蓮縣政府東北方  26.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-08-17 06:51:31,119.967,21.2348,5.3,76.3,1,高雄市政府南南西方  157.6  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2025-08-15 22:18:04,121.638,23.9923,4,29.8,2,花蓮縣政府東方  1.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-08-10 14:10:15,121.543,23.7678,4.2,21.3,2,花蓮縣政府南南西方  25.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
112   ,2025-08-10 14:03:36,121.545,23.7597,5.2,21.9,4,花蓮縣政府南南西方  26.7  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2025-08-07 17:58:21,120.595,23.2712,3,11.4,3,嘉義縣政府東南東方  37.2  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
111   ,2025-08-07 15:45:04,122.964,24.5565,6.3,108.3,3,宜蘭縣政府東方  123.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-08-06 03:22:46,121.591,25.179,2.9,4,2,新北市政府東北方  22.4  公里 (位於新北市金山區)(新北市金山區)
小區域有感地震,2025-08-04 16:09:22,120.365,23.4795,2.8,9.4,2,嘉義縣政府東北東方  7.6  公里 (位於嘉義縣太保市)(嘉義縣太保市)
小區域有感地震,2025-08-03 21:53:06,120.388,23.1992,3.3,12.1,2,臺南市政府東北方  30.9  公里 (位於臺南市官田區)(臺南市官田區)
小區域有感地震,2025-08-02 15:19:05,121.564,23.8003,3.7,6.3,4,花蓮縣政府南南西方  21.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2025-08-02 09:50:03,121.554,23.7975,3.3,3.3,4,花蓮縣政府南南西方  22.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
110   ,2025-08-02 07:48:29,121.575,23.7838,4.8,4.2,4,花蓮縣政府南南西方  23.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-08-02 07:47:36,121.558,23.7892,4,3.6,4,花蓮縣政府南南西方  23.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2025-08-02 07:10:51,121.078,22.8135,3.5,6.9,3,臺東縣政府西北方  9.9  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
