編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-09-29 05:23:50,123.343,24.3172,5.4,75.8,2,宜蘭縣政府東南東方  166.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-09-28 15:20:57,120.647,23.4598,3.2,8.4,2,嘉義縣政府東方  36.2  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
小區域有感地震,2025-09-27 18:40:50,120.466,23.2272,3.5,7.4,2,臺南市政府東北方  38.8  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-09-25 11:51:48,120.534,23.1562,3.2,16.3,2,臺南市政府東北東方  40.1  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-09-25 07:41:41,121.136,24.6587,3.3,6.1,2,新竹縣政府東南方  22.4  公里 (位於新竹縣五峰鄉)(新竹縣五峰鄉)
小區域有感地震,2025-09-25 03:37:40,121.557,23.8247,3.5,19.6,2,花蓮縣政府南南西方  19.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2025-09-24 13:22:21,121.716,23.9627,3.9,25.2,2,花蓮縣政府東南東方  10.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-09-23 16:44:12,121.666,24.0647,3.8,37.7,1,花蓮縣政府北北東方  9.4  公里 (位於花蓮縣近海)(花蓮縣近海)
125   ,2025-09-22 03:20:14,120.942,23.7363,4.8,28.1,3,南投縣政府東南東方  31.5  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2025-09-22 01:06:40,121.522,23.5398,3.9,33.5,2,花蓮縣政府南南西方  50.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-09-21 19:45:20,121.836,24.1245,4.3,24.5,3,花蓮縣政府東北東方  26.4  公里 (位於臺灣東部海域)(臺灣東部海域)
124   ,2025-09-21 12:36:17,121.86,24.1635,4.5,21.7,3,花蓮縣政府東北方  31.0  公里 (位於臺灣東部海域)(臺灣東部海域)
