編號,地震時間,經度,緯度,規模,深度,最大震度,位置
104   ,2025-06-30 16:26:22,120.476,23.2232,4.7,9.5,4,臺南市政府東北方  39.3  公里 (位於臺南市楠西區)(臺南市楠西區)
103   ,2025-06-30 16:22:47,120.476,23.2203,4.6,9.2,4,臺南市政府東北方  39.1  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-06-27 12:56:16,121.462,23.9385,3.3,18.8,2,花蓮縣政府西南西方  17.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-06-27 10:42:58,121.417,23.223,3.6,25.1,2,臺東縣政府北北東方  58.6  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-06-25 16:13:45,121.098,24.8135,2.7,10.6,2,新竹縣政府東方  8.7  公里 (位於新竹縣新埔鎮)(新竹縣新埔鎮)
102   ,2025-06-24 02:00:57,121.386,23.7833,5,23.6,4,花蓮縣政府西南方  33.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2025-06-23 06:40:11,121.894,24.236,3.9,26.9,1,花蓮縣政府東北方  38.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-06-22 11:06:33,121.572,23.4277,3.8,25.5,2,花蓮縣政府南方  62.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-06-20 04:18:39,119.92,21.9103,5.2,44.1,2,高雄市政府南南西方  88.4  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2025-06-20 03:03:25,121.8,24.3373,3.7,8.3,4,宜蘭縣政府南方  43.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2025-06-19 07:48:22,121.348,24.1173,3.3,5.4,2,花蓮縣政府西北西方  31.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-06-19 07:02:23,121.351,24.0923,3.8,5.3,3,花蓮縣政府西北西方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-06-19 02:50:09,121.567,23.4008,4.1,37.9,1,臺東縣政府北北東方  83.3  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2025-06-18 07:34:35,120.516,23.1685,3.9,14.2,3,臺南市政府東北東方  39.1  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-06-17 08:15:53,121.411,23.5675,3.8,24.9,2,花蓮縣政府南南西方  51.5  公里 (位於花蓮縣瑞穗鄉)(花蓮縣瑞穗鄉)
101   ,2025-06-15 05:07:13,121.299,23.4937,4.2,13.9,4,花蓮縣政府南南西方  64.0  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2025-06-14 11:27:37,120.953,23.2408,3.5,1.8,3,臺東縣政府北北西方  57.5  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-06-14 09:21:42,120.487,23.2123,4,9.3,3,臺南市政府東北方  39.4  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-06-13 16:41:49,120.608,23.768,3.8,22.1,2,雲林縣政府東北方  11.3  公里 (位於雲林縣林內鄉)(雲林縣林內鄉)
小區域有感地震,2025-06-13 02:32:28,120.952,23.2377,3.7,2.2,2,臺東縣政府北北西方  57.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
100   ,2025-06-12 00:01:04,121.532,23.4043,5.1,34.8,4,臺東縣政府北北東方  81.8  公里 (位於臺東縣近海)(臺東縣近海)
099   ,2025-06-11 19:00:29,121.532,23.4257,6.4,34.6,5弱,花蓮縣政府南方  63.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-06-11 15:21:07,120.765,23.1415,3.5,5.2,4,高雄市政府東北方  74.0  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2025-06-10 13:43:25,120.953,23.2403,4.1,2,3,臺東縣政府北北西方  57.5  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-06-10 13:32:07,120.951,23.2437,4,2.7,2,臺東縣政府北北西方  57.9  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-06-09 09:03:19,121.539,24.0608,3.8,47.6,1,花蓮縣政府西北方  11.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
098   ,2025-06-07 19:09:43,120.515,23.1847,4,16.8,3,臺南市政府東北東方  40.0  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-06-07 17:03:10,121.338,23.1795,3.1,14.7,1,臺東縣政府北北東方  50.8  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2025-06-07 16:27:25,121.181,23.1372,3.4,13.9,2,臺東縣政府北方  42.4  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-06-06 23:02:45,121.68,24.2173,3.7,29.2,2,花蓮縣政府北北東方  25.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-06-05 18:05:22,121.344,24.1132,3.4,7.1,2,花蓮縣政府西北西方  31.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-06-05 03:06:42,121.71,24.0555,3.8,28.2,2,花蓮縣政府東北方  11.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-06-05 01:17:40,120.164,23.0563,2.8,14.3,1,臺南市政府北北西方  7.4  公里 (位於臺南市安南區)(臺南市安南區)
小區域有感地震,2025-06-04 01:53:18,121.292,22.8603,3.8,20.1,2,臺東縣政府東北方  18.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2025-06-04 00:17:53,122.145,23.33,4.9,30.6,3,花蓮縣政府東南方  90.7  公里 (位於臺灣東部海域)(臺灣東部海域)
