編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-01-31 23:19:09,121.684,23.9102,4,52.1,1,花蓮縣政府東南方  11.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-01-31 19:26:49,120.596,23.2318,3.7,12.5,4,臺南市政府東北東方  49.8  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-01-31 19:08:48,120.586,23.233,3.4,11.2,4,臺南市政府東北東方  49.0  公里 (位於臺南市南化區)(臺南市南化區)
053   ,2025-01-31 04:05:26,120.51,23.268,4.4,7.6,4,臺南市政府東北方  45.2  公里 (位於臺南市東山區)(臺南市東山區)
052   ,2025-01-31 01:45:00,120.604,23.1678,4.1,16.7,3,臺南市政府東北東方  47.1  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-01-30 21:43:18,120.57,23.2393,3.3,10.6,4,嘉義縣政府東南方  37.3  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-01-30 17:10:26,120.593,23.2505,3.1,12.9,2,嘉義縣政府東南方  38.4  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-01-30 15:54:41,120.588,23.2287,3.8,11.3,4,臺南市政府東北東方  48.9  公里 (位於臺南市南化區)(臺南市南化區)
051   ,2025-01-30 15:16:17,120.587,23.229,4.8,12,5弱,臺南市政府東北東方  48.8  公里 (位於臺南市南化區)(臺南市南化區)
050   ,2025-01-30 14:49:40,120.489,23.2415,4.1,8.2,3,臺南市政府東北方  41.6  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-01-30 12:53:00,120.573,23.2503,3.2,10.4,4,嘉義縣政府東南方  36.8  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-01-30 11:20:44,120.588,23.2538,3.4,11.4,3,嘉義縣政府東南方  37.8  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-01-30 10:43:52,120.591,23.2315,3.3,11.5,3,臺南市政府東北東方  49.3  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-01-30 10:21:43,120.579,23.2567,3.4,10.9,4,嘉義縣政府東南方  36.9  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-01-30 10:21:11,120.575,23.2508,3.4,10.3,4,嘉義縣政府東南方  36.9  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
