編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-02-28 15:23:19,121.755,23.9768,3.9,23.1,3,花蓮縣政府東方  13.9  公里 (位於臺灣東部海域)(臺灣東部海域)
066   ,2025-02-28 13:02:47,121.439,23.2902,4.7,25.9,3,臺東縣政府北北東方  66.2  公里 (位於臺東縣近海)(臺東縣近海)
065   ,2025-02-27 13:01:45,120.567,23.0625,4.2,13.9,3,高雄市政府北北東方  55.5  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2025-02-25 18:13:59,120.654,23.2582,3.8,8.5,3,高雄市政府北北東方  78.8  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2025-02-25 14:53:52,121.359,23.1885,3.7,17.6,2,臺東縣政府北北東方  52.5  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2025-02-24 05:36:39,121.692,24.2443,2.9,12,2,花蓮縣政府北北東方  29.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-02-24 04:38:55,121.557,24.1417,4,46,1,花蓮縣政府北北西方  17.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-02-23 16:51:25,121.78,24.4132,4,59.3,1,宜蘭縣政府南方  35.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2025-02-22 23:34:09,121.611,23.9568,4.1,27.2,3,花蓮縣政府南南西方  3.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-02-22 23:14:03,121.474,23.9312,3.2,15.8,2,花蓮縣政府西南西方  16.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-02-21 19:48:19,121.625,23.9215,4.4,35.2,2,花蓮縣政府南方  7.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-02-21 13:33:44,120.291,21.7165,4.8,42.5,1,高雄市政府南方  100.2  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2025-02-20 21:52:32,120.572,23.2053,3.3,12.6,2,臺南市政府東北東方  46.2  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-02-20 12:32:39,120.525,23.2552,3.5,11.7,3,臺南市政府東北方  45.4  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-02-20 07:03:25,120.462,23.2367,3.2,8.6,2,臺南市政府東北方  39.2  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-02-19 04:11:24,121.708,23.5838,4.4,28.5,3,花蓮縣政府南南東方  46.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-18 11:50:26,121.765,23.9553,3.4,22.8,2,花蓮縣政府東南東方  15.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-18 01:15:20,120.53,23.2088,3.2,3.6,4,臺南市政府東北東方  42.7  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-02-17 00:33:40,121.343,22.57,4.3,24.5,3,臺東縣政府東南方  28.4  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2025-02-16 08:39:10,120.642,23.8993,3,26.2,1,南投縣政府西方  4.9  公里 (位於南投縣南投市)(南投縣南投市)
小區域有感地震,2025-02-16 05:55:03,121.901,24.3987,3.8,23.8,3,宜蘭縣政府南南東方  39.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-15 23:27:54,120.579,23.2565,3.3,11.4,3,嘉義縣政府東南方  36.8  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-02-15 21:26:10,121.426,23.4323,4,35,2,臺東縣政府北北東方  80.1  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2025-02-14 16:16:44,121.943,24.3938,3.5,32.4,1,宜蘭縣政府南南東方  41.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-14 08:21:40,120.58,23.1932,3.6,11.1,3,臺南市政府東北東方  46.2  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2025-02-14 02:33:35,120.571,21.9592,4,45.4,2,高雄市政府南南東方  78.0  公里 (位於臺灣西南部海域)(臺灣西南部海域)
小區域有感地震,2025-02-12 00:09:36,121.936,24.3842,3.9,27.4,2,宜蘭縣政府南南東方  42.2  公里 (位於臺灣東部海域)(臺灣東部海域)
064   ,2025-02-11 22:04:38,121.663,24.1717,4,13.7,4,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2025-02-11 20:46:03,120.456,23.5487,3.2,6.3,2,嘉義縣政府東北東方  19.4  公里 (位於嘉義縣民雄鄉)(嘉義縣民雄鄉)
063   ,2025-02-11 15:52:44,120.493,23.244,4.1,8.3,4,臺南市政府東北方  42.1  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-02-11 15:45:01,120.506,23.2882,3.5,10.6,3,臺南市政府東北方  46.4  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-02-11 15:01:56,121.044,22.7855,3.6,6.3,3,臺東縣政府西北西方  11.5  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
小區域有感地震,2025-02-11 12:52:46,121.541,23.7958,3.4,19.1,2,花蓮縣政府南南西方  23.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2025-02-11 01:07:50,121.936,24.456,3.7,13.5,3,宜蘭縣政府南南東方  35.1  公里 (位於臺灣東部海域)(臺灣東部海域)
062   ,2025-02-10 10:39:54,120.506,23.1627,4,16.2,3,臺南市政府東北東方  37.9  公里 (位於臺南市楠西區)(臺南市楠西區)
061   ,2025-02-10 01:39:06,120.575,23.2747,4.4,14.8,4,嘉義縣政府東南東方  35.3  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-02-09 06:50:45,120.522,23.1605,3.8,16.2,2,臺南市政府東北東方  39.3  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-02-08 10:49:37,121.751,23.8723,4,45.2,2,花蓮縣政府東南方  18.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-08 00:59:53,120.588,23.2755,3.6,11.1,4,嘉義縣政府東南東方  36.4  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
060   ,2025-02-08 00:46:58,120.589,23.2773,5.3,11.4,4,嘉義縣政府東南東方  36.3  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
059   ,2025-02-07 19:56:11,121.448,23.8033,4.1,13.8,4,花蓮縣政府西南方  27.2  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2025-02-07 03:06:40,121.503,23.2015,4.1,40.2,3,臺東縣政府東北方  61.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-06 20:22:25,120.93,24.0837,3.7,22.7,3,南投縣政府東北方  31.7  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
058   ,2025-02-06 07:38:38,120.546,23.211,4,17,4,臺南市政府東北東方  44.2  公里 (位於臺南市楠西區)(臺南市楠西區)
小區域有感地震,2025-02-06 01:09:13,120.467,23.421,2.9,6.6,2,嘉義縣政府東南東方  18.3  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
小區域有感地震,2025-02-05 17:22:05,120.483,23.2558,3.4,8.3,2,臺南市政府東北方  42.3  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-02-05 11:14:12,121.886,24.3055,3.8,30.7,2,花蓮縣政府東北方  44.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-05 05:51:41,121.891,24.3072,3.7,31.7,2,花蓮縣政府東北方  44.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-05 05:14:05,121.925,24.4325,3.5,12.2,3,宜蘭縣政府南南東方  36.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-02-05 04:52:30,120.484,23.2357,3.5,8.5,3,臺南市政府東北方  40.8  公里 (位於臺南市東山區)(臺南市東山區)
