編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2025-05-31 21:21:38,121.599,23.956,3.6,12.6,3,花蓮縣政府南南西方  4.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2025-05-30 08:02:24,122.857,24.8692,5.3,130.2,1,宜蘭縣政府東方  111.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-05-29 16:21:10,121.162,22.5762,3.9,32.1,1,臺東縣政府南方  19.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2025-05-29 06:31:44,121.924,24.1392,3.9,29.4,1,花蓮縣政府東北東方  35.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2025-05-28 01:53:25,121.458,23.9395,3.5,19.1,3,花蓮縣政府西南西方  17.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-05-27 22:13:52,120.68,22.8472,4.1,18.1,2,屏東縣政府東北方  26.8  公里 (位於屏東縣三地門鄉)(屏東縣三地門鄉)
小區域有感地震,2025-05-27 16:58:55,120.652,23.2555,3.7,6.4,4,高雄市政府北北東方  78.4  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2025-05-27 15:22:47,120.967,23.2613,3.7,2.2,3,臺東縣政府北北西方  59.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2025-05-27 12:57:13,120.512,23.2612,3.6,8.3,3,臺南市政府東北方  44.8  公里 (位於臺南市東山區)(臺南市東山區)
小區域有感地震,2025-05-27 10:56:37,121.608,24.1385,3.6,32.1,1,花蓮縣政府北方  16.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2025-05-25 08:19:17,121.741,24.7358,4.4,80.7,2,宜蘭縣政府西北西方  2.3  公里 (位於宜蘭縣宜蘭市)(宜蘭縣宜蘭市)
小區域有感地震,2025-05-24 15:11:34,121.059,24.5552,3.5,7.3,3,新竹縣政府南方  30.5  公里 (位於新竹縣五峰鄉)(新竹縣五峰鄉)
小區域有感地震,2025-05-23 00:14:02,120.549,23.3332,3.2,12.9,2,嘉義縣政府東南東方  29.6  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2025-05-22 19:16:35,121.536,23.5533,3.9,32.5,2,花蓮縣政府南方  49.2  公里 (位於花蓮縣近海)(花蓮縣近海)
